crawl-66-249-64-28.googlebot.com - - [06/Oct/2017:14:11:46 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 304 -
hpux01.hostingplan.net - - [06/Oct/2017:14:16:20 +0200] "GET / HTTP/1.0" 200 35804
hpux01.hostingplan.net - - [06/Oct/2017:14:16:21 +0200] "GET /admin/ HTTP/1.0" 200 18069
crawl-66-249-64-27.googlebot.com - - [06/Oct/2017:14:28:09 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 304 -
msnbot-207-46-13-120.search.msn.com - - [06/Oct/2017:14:42:59 +0200] "GET / HTTP/1.1" 200 6440
msnbot-40-77-167-3.search.msn.com - - [06/Oct/2017:14:49:49 +0200] "GET / HTTP/1.1" 200 6440
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:13 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21862
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:12 +0200] "GET / HTTP/1.1" 200 35804
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:14 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18388
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:14 +0200] "GET /davosersee.shtml HTTP/1.1" 200 19505
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:15 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:15 +0200] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:15 +0200] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:16 +0200] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:16 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 49926
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:16 +0200] "GET /events.shtml HTTP/1.1" 200 22514
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:16 +0200] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:16 +0200] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:16 +0200] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:16 +0200] "GET /flotte.shtml HTTP/1.1" 200 29241
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:17 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:17 +0200] "GET /galerie.shtml HTTP/1.1" 200 22747
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:17 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:17 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:17 +0200] "GET /kurse.shtml HTTP/1.1" 200 31031
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:17 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:18 +0200] "GET /Perspectiva.html? HTTP/1.1" 200 18069
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:18 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:18 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:18 +0200] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:18 +0200] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:18 +0200] "GET /vermietung.shtml HTTP/1.1" 200 25728
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:18 +0200] "GET /standort.shtml HTTP/1.1" 200 17547
b78113.upc-b.chello.nl - - [06/Oct/2017:14:53:19 +0200] "GET /aktuelles-wetter HTTP/1.1" 200 18388
