7e.e9.36a9.ip4.static.sl-reverse.com - - [07/Oct/2017:09:00:18 +0200] "GET / HTTP/1.1" 200 35804
crawl-66-249-64-27.googlebot.com - - [07/Oct/2017:09:31:04 +0200] "GET / HTTP/1.1" 200 6401
144.227.197.178.dynamic.wless.zhbmb00p-cgnat.res.cust.swisscom.ch - - [07/Oct/2017:09:49:36 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
144.227.197.178.dynamic.wless.zhbmb00p-cgnat.res.cust.swisscom.ch - - [07/Oct/2017:09:49:50 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1283
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /var/m_0/0d/0dd/12455/6564603-SK_Tro_Head.jpg HTTP/1.1" 200 136780
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET / HTTP/1.1" 200 6440
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:22 +0200] "GET /var/m_0/0d/0dd/12455/8218280-65_Regatta.JPG HTTP/1.1" 200 192350
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:23 +0200] "GET /var/m_0/0d/0dd/12455/143586-SP_DK1.jpg HTTP/1.1" 200 3071
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:23 +0200] "GET /var/m_0/0d/0dd/12455/143582-SP_Gipfel1.jpg HTTP/1.1" 200 2688
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:54:23 +0200] "GET /var/m_0/0d/0dd/12455/8288159-EWD_rgb_pos.jpg HTTP/1.1" 200 207458
