msnbot-157-55-39-17.search.msn.com - - [11/Oct/2017:09:09:34 +0200] "GET / HTTP/1.1" 200 6440
88-99-240-172.crawler.sistrix.net - - [11/Oct/2017:09:12:09 +0200] "GET /robots.txt HTTP/1.1" 200 120
88-99-240-172.crawler.sistrix.net - - [11/Oct/2017:09:12:09 +0200] "GET /kurse.shtml HTTP/1.1" 200 31031
msnbot-40-77-167-103.search.msn.com - - [11/Oct/2017:09:25:00 +0200] "GET / HTTP/1.1" 200 6440
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET / HTTP/1.1" 200 6440
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1283
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /var/m_0/0d/0dd/12455/8218280-65_Regatta.JPG HTTP/1.1" 200 192350
83.140.127.176.dynamic.wline.res.cust.swisscom.ch - - [11/Oct/2017:09:43:09 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
