msnbot-157-55-39-251.search.msn.com - - [14/Oct/2017:14:02:34 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 4575
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:25 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 5156
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41276 HTTP/1.1" 200 24507
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41276 HTTP/1.1" 200 157
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41276 HTTP/1.1" 200 278
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /js/functions_stripped.js?v=6.6.7.2.41276 HTTP/1.1" 200 3186
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:27 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:28 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 200 1803
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:28 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:28 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 200 1751
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:28 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 200 1000
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:28 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:28 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 200 2150
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:37:29 +0200] "GET /templates/resellers/7/favicon.ico?v=1507984646 HTTP/1.1" 200 4286
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41276 HTTP/1.1" 200 278
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41276 HTTP/1.1" 200 157
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 5156
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41276 HTTP/1.1" 200 24507
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:23 +0200] "GET /js/functions_stripped.js?v=6.6.7.2.41276 HTTP/1.1" 200 3186
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:24 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:24 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:24 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 200 1751
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:24 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 200 1000
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:24 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:24 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 200 1803
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:24 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 200 2150
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:25 +0200] "GET /templates/resellers/7/favicon.ico?v=1507984646 HTTP/1.1" 200 4286
238.236.197.178.dynamic.wless.lssmb00p-cgnat.res.cust.swisscom.ch - - [14/Oct/2017:14:41:37 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 5156
b118839.yse.yahoo.net - - [14/Oct/2017:14:46:25 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 200 4938
10.225.28.107, 194.209.6.201 - - [14/Oct/2017:14:51:28 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
