baiduspider-180-76-15-17.crawl.baidu.com - - [18/Oct/2017:08:02:22 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 5895
5.188.211.13 - - [18/Oct/2017:08:21:42 +0200] "GET / HTTP/1.1" 200 35804
5.188.211.13 - - [18/Oct/2017:08:21:43 +0200] "GET / HTTP/1.1" 200 35804
5.188.211.13 - - [18/Oct/2017:08:21:44 +0200] "GET /davosersee.shtml HTTP/1.1" 200 19505
5.188.211.13 - - [18/Oct/2017:08:21:45 +0200] "GET /kurse.shtml HTTP/1.1" 200 31031
5.188.211.13 - - [18/Oct/2017:08:21:45 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
5.188.211.13 - - [18/Oct/2017:08:21:45 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
5.188.211.13 - - [18/Oct/2017:08:21:45 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
5.188.211.13 - - [18/Oct/2017:08:21:46 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
5.188.211.13 - - [18/Oct/2017:08:21:46 +0200] "GET /events.shtml HTTP/1.1" 200 22514
5.188.211.13 - - [18/Oct/2017:08:21:46 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
5.188.211.13 - - [18/Oct/2017:08:21:47 +0200] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
5.188.211.13 - - [18/Oct/2017:08:21:47 +0200] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
5.188.211.13 - - [18/Oct/2017:08:21:47 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
5.188.211.13 - - [18/Oct/2017:08:21:47 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
5.188.211.13 - - [18/Oct/2017:08:21:47 +0200] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
5.188.211.13 - - [18/Oct/2017:08:21:47 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21862
5.188.211.13 - - [18/Oct/2017:08:21:47 +0200] "GET /standort.shtml HTTP/1.1" 200 17547
5.188.211.13 - - [18/Oct/2017:08:21:48 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 49926
5.188.211.13 - - [18/Oct/2017:08:21:49 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18388
5.188.211.13 - - [18/Oct/2017:08:21:49 +0200] "GET /galerie.shtml HTTP/1.1" 200 22747
5.188.211.13 - - [18/Oct/2017:08:21:50 +0200] "GET /kurse.shtml HTTP/1.1" 200 31031
msnbot-207-46-13-30.search.msn.com - - [18/Oct/2017:08:35:56 +0200] "GET /event-matchracing HTTP/1.1" 200 5634
msnbot-157-55-39-85.search.msn.com - - [18/Oct/2017:08:36:16 +0200] "GET /js/efu/w.gallery.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 181
msnbot-157-55-39-85.search.msn.com - - [18/Oct/2017:08:36:16 +0200] "GET /js/efu/main.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1746
msnbot-157-55-39-85.search.msn.com - - [18/Oct/2017:08:36:17 +0200] "GET /js/fancybox2/jquery.fancybox.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 6267
msnbot-157-55-39-85.search.msn.com - - [18/Oct/2017:08:36:17 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
msnbot-157-55-39-85.search.msn.com - - [18/Oct/2017:08:36:17 +0200] "GET /js/fancybox2/jquery.fancybox.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 1020
msnbot-207-46-13-30.search.msn.com - - [18/Oct/2017:08:36:54 +0200] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
msnbot-207-46-13-30.search.msn.com - - [18/Oct/2017:08:36:54 +0200] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1283
msnbot-207-46-13-30.search.msn.com - - [18/Oct/2017:08:36:54 +0200] "GET /js/galleryLightbox/gallery-paging.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1107
msnbot-40-77-167-74.search.msn.com - - [18/Oct/2017:08:36:55 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
msnbot-40-77-167-74.search.msn.com - - [18/Oct/2017:08:47:23 +0200] "GET / HTTP/1.1" 200 6440
msnbot-207-46-13-30.search.msn.com - - [18/Oct/2017:08:51:21 +0200] "GET / HTTP/1.1" 200 6440
