173.252.98.204 - - [02/Nov/2017:21:09:05 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
pub158181126098.dh-hfc.datazug.ch - - [02/Nov/2017:21:09:08 +0100] "GET /smartkat-crashkurs HTTP/1.1" 200 4793
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET / HTTP/1.1" 200 6401
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:20 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:21 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:21 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1283
77-56-211-209.dclient.hispeed.ch - - [02/Nov/2017:21:39:21 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
