crawl-66-249-64-28.googlebot.com - - [05/Nov/2017:19:01:17 +0100] "GET / HTTP/1.1" 200 6401
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1283
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /vermietung.shtml HTTP/1.1" 200 5099
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
233.180.202.62.dynamic.cgnat.res.cust.swisscom.ch - - [05/Nov/2017:19:05:04 +0100] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
msnbot-40-77-167-41.search.msn.com - - [05/Nov/2017:19:36:55 +0100] "GET /davosersee HTTP/1.1" 200 5477
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:02 +0100] "GET /davosersee HTTP/1.1" 200 5477
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:04 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:04 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
msnbot-131-253-25-85.search.msn.com - - [05/Nov/2017:19:44:04 +0100] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:04 +0100] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:05 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
msnbot-131-253-25-85.search.msn.com - - [05/Nov/2017:19:44:05 +0100] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
msnbot-131-253-25-85.search.msn.com - - [05/Nov/2017:19:44:05 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:05 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
msnbot-131-253-25-85.search.msn.com - - [05/Nov/2017:19:44:05 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:05 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:12 +0100] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
msnbot-131-253-25-85.search.msn.com - - [05/Nov/2017:19:44:20 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
msnbot-131-253-25-74.search.msn.com - - [05/Nov/2017:19:44:20 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
msnbot-131-253-25-85.search.msn.com - - [05/Nov/2017:19:44:20 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
