msnbot-207-46-13-126.search.msn.com - - [28/Nov/2017:09:08:34 +0100] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
37.49.225.105 - - [28/Nov/2017:09:34:16 +0100] "GET / HTTP/1.1" 200 35804
37.49.225.105 - - [28/Nov/2017:09:34:17 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18388
37.49.225.105 - - [28/Nov/2017:09:34:17 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21862
37.49.225.105 - - [28/Nov/2017:09:34:18 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
37.49.225.105 - - [28/Nov/2017:09:34:18 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
37.49.225.105 - - [28/Nov/2017:09:34:18 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
37.49.225.105 - - [28/Nov/2017:09:34:18 +0100] "GET /davosersee.shtml HTTP/1.1" 200 19505
37.49.225.105 - - [28/Nov/2017:09:34:19 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
37.49.225.105 - - [28/Nov/2017:09:34:19 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
37.49.225.105 - - [28/Nov/2017:09:34:19 +0100] "GET /events.shtml HTTP/1.1" 200 22514
37.49.225.105 - - [28/Nov/2017:09:34:19 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
37.49.225.105 - - [28/Nov/2017:09:34:20 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
37.49.225.105 - - [28/Nov/2017:09:34:20 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 49926
37.49.225.105 - - [28/Nov/2017:09:34:20 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
37.49.225.105 - - [28/Nov/2017:09:34:20 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
37.49.225.105 - - [28/Nov/2017:09:34:20 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
37.49.225.105 - - [28/Nov/2017:09:34:20 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
37.49.225.105 - - [28/Nov/2017:09:34:20 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
37.49.225.105 - - [28/Nov/2017:09:34:21 +0100] "GET /standort.shtml HTTP/1.1" 200 17547
37.49.225.105 - - [28/Nov/2017:09:34:21 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
37.49.225.105 - - [28/Nov/2017:09:34:21 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
37.49.225.105 - - [28/Nov/2017:09:34:21 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
37.49.225.105 - - [28/Nov/2017:09:34:21 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
37.49.225.105 - - [28/Nov/2017:09:34:21 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
37.49.225.105 - - [28/Nov/2017:09:34:21 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
37.49.225.105 - - [28/Nov/2017:09:34:21 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
37.49.225.105 - - [28/Nov/2017:09:34:22 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
37.49.225.105 - - [28/Nov/2017:09:34:22 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
crawl-66-249-64-28.googlebot.com - - [28/Nov/2017:09:40:10 +0100] "GET /robots.txt HTTP/1.1" 200 80
crawl-66-249-64-29.googlebot.com - - [28/Nov/2017:09:40:10 +0100] "GET / HTTP/1.1" 200 6401
198.204.243.138 - - [28/Nov/2017:09:46:29 +0100] "GET /robots.txt HTTP/1.1" 200 120
198.204.243.138 - - [28/Nov/2017:09:46:37 +0100] "GET /vermietung HTTP/1.1" 200 25728
198.204.243.138 - - [28/Nov/2017:09:46:48 +0100] "GET /robots.txt HTTP/1.1" 200 120
198.204.243.138 - - [28/Nov/2017:09:46:58 +0100] "GET /index.php?option=com_content&task=view&id=41&Itemid=99 HTTP/1.1" 302 -
198.204.243.138 - - [28/Nov/2017:09:47:04 +0100] "GET / HTTP/1.1" 200 35804
msnbot-157-55-39-190.search.msn.com - - [28/Nov/2017:09:58:00 +0100] "GET /var/m_0/0d/0dd/12455/6564603-SK_Tro_Head.jpg HTTP/1.1" 200 136780
