66.249.64.14 - - [14/Dec/2017:11:00:54 +0100] "GET /robots.txt HTTP/1.1" 200 80
66.249.64.15 - - [14/Dec/2017:11:00:55 +0100] "GET /templates/resellers/7/favicon.ico?v=1503466260 HTTP/1.1" 304 -
82.159.41.175 - - [14/Dec/2017:11:13:42 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21862
82.159.41.175 - - [14/Dec/2017:11:13:41 +0100] "GET / HTTP/1.1" 200 35804
82.159.41.175 - - [14/Dec/2017:11:13:43 +0100] "GET /davosersee.shtml HTTP/1.1" 200 19505
82.159.41.175 - - [14/Dec/2017:11:13:43 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18388
82.159.41.175 - - [14/Dec/2017:11:13:44 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
82.159.41.175 - - [14/Dec/2017:11:13:44 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
82.159.41.175 - - [14/Dec/2017:11:13:44 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
82.159.41.175 - - [14/Dec/2017:11:13:45 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
82.159.41.175 - - [14/Dec/2017:11:13:45 +0100] "GET /events.shtml HTTP/1.1" 200 22514
82.159.41.175 - - [14/Dec/2017:11:13:46 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
82.159.41.175 - - [14/Dec/2017:11:13:46 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
82.159.41.175 - - [14/Dec/2017:11:13:46 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
82.159.41.175 - - [14/Dec/2017:11:13:46 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
82.159.41.175 - - [14/Dec/2017:11:13:47 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
82.159.41.175 - - [14/Dec/2017:11:13:47 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 49926
82.159.41.175 - - [14/Dec/2017:11:13:47 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
82.159.41.175 - - [14/Dec/2017:11:13:48 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
82.159.41.175 - - [14/Dec/2017:11:13:48 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
82.159.41.175 - - [14/Dec/2017:11:13:48 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
82.159.41.175 - - [14/Dec/2017:11:13:48 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
82.159.41.175 - - [14/Dec/2017:11:13:48 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
82.159.41.175 - - [14/Dec/2017:11:13:49 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
82.159.41.175 - - [14/Dec/2017:11:13:49 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
82.159.41.175 - - [14/Dec/2017:11:13:49 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
82.159.41.175 - - [14/Dec/2017:11:13:49 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
82.159.41.175 - - [14/Dec/2017:11:13:49 +0100] "GET /standort.shtml HTTP/1.1" 200 17547
82.159.41.175 - - [14/Dec/2017:11:13:50 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
82.159.41.175 - - [14/Dec/2017:11:13:50 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
207.46.13.52 - - [14/Dec/2017:11:14:28 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 4938
13.56.229.65 - - [14/Dec/2017:11:34:18 +0100] "GET / HTTP/1.1" 200 6440
207.46.13.52 - - [14/Dec/2017:11:39:49 +0100] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
51.255.65.90 - - [14/Dec/2017:11:41:10 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 5895
151.80.39.14 - - [14/Dec/2017:11:49:56 +0100] "GET /robots.txt HTTP/1.1" 200 80
