207.46.13.143 - - [22/Dec/2017:19:24:35 +0100] "GET /index.php?option=com_frontpage&Itemid=101 HTTP/1.1" 302 -
68.180.228.93 - - [22/Dec/2017:19:24:41 +0100] "GET /robots.txt HTTP/1.1" 200 120
68.180.228.93 - - [22/Dec/2017:19:24:42 +0100] "GET /galerie-sktrophy-2014-2.shtml HTTP/1.1" 200 4296
66.249.64.28 - - [22/Dec/2017:19:30:25 +0100] "GET / HTTP/1.1" 200 6440
66.249.64.30 - - [22/Dec/2017:19:30:25 +0100] "GET /robots.txt HTTP/1.1" 200 80
66.249.64.28 - - [22/Dec/2017:19:30:29 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
66.249.64.28 - - [22/Dec/2017:19:30:30 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
91.116.195.58 - - [22/Dec/2017:19:39:19 +0100] "GET / HTTP/1.1" 200 35804
91.116.195.58 - - [22/Dec/2017:19:39:20 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
91.116.195.58 - - [22/Dec/2017:19:39:20 +0100] "GET /events.shtml HTTP/1.1" 200 22514
91.116.195.58 - - [22/Dec/2017:19:39:21 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
91.116.195.58 - - [22/Dec/2017:19:39:21 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
91.116.195.58 - - [22/Dec/2017:19:39:21 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
91.116.195.58 - - [22/Dec/2017:19:39:21 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
91.116.195.58 - - [22/Dec/2017:19:39:21 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
91.116.195.58 - - [22/Dec/2017:19:39:22 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
91.116.195.58 - - [22/Dec/2017:19:39:22 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
91.116.195.58 - - [22/Dec/2017:19:39:22 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
91.116.195.58 - - [22/Dec/2017:19:39:22 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
91.116.195.58 - - [22/Dec/2017:19:39:22 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
91.116.195.58 - - [22/Dec/2017:19:39:22 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
91.116.195.58 - - [22/Dec/2017:19:39:23 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
91.116.195.58 - - [22/Dec/2017:19:39:23 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
91.116.195.58 - - [22/Dec/2017:19:39:23 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
91.116.195.58 - - [22/Dec/2017:19:39:23 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
91.116.195.58 - - [22/Dec/2017:19:39:23 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
91.116.195.58 - - [22/Dec/2017:19:39:23 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
91.116.195.58 - - [22/Dec/2017:19:39:23 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
91.116.195.58 - - [22/Dec/2017:19:39:23 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
91.116.195.58 - - [22/Dec/2017:19:39:24 +0100] "GET /js/).html(a);null==$( HTTP/1.1" 200 219
91.116.195.58 - - [22/Dec/2017:19:39:24 +0100] "GET /js/index.php?sid=46&lang=en&item=1&act=users&ajax=state HTTP/1.1" 200 210
91.116.195.58 - - [22/Dec/2017:19:39:25 +0100] "GET /davosersee HTTP/1.1" 200 19505
91.116.195.58 - - [22/Dec/2017:19:39:25 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
91.116.195.58 - - [22/Dec/2017:19:39:25 +0100] "GET /event-matchracing HTTP/1.1" 200 21251
91.116.195.58 - - [22/Dec/2017:19:39:25 +0100] "GET /event-gruppesmartkat HTTP/1.1" 200 21256
91.116.195.58 - - [22/Dec/2017:19:39:26 +0100] "GET /events HTTP/1.1" 200 22514
91.116.195.58 - - [22/Dec/2017:19:39:25 +0100] "GET /event-pedalo HTTP/1.1" 200 20248
