157.55.39.72 - - [27/Dec/2017:18:19:42 +0100] "GET /index.php?option=com_content&task=view&id=73&Itemid=157 HTTP/1.1" 302 -
68.180.228.93 - - [27/Dec/2017:18:28:25 +0100] "GET /robots.txt HTTP/1.1" 200 120
68.180.228.93 - - [27/Dec/2017:18:28:25 +0100] "GET /index.php HTTP/1.1" 302 -
68.180.228.93 - - [27/Dec/2017:18:28:28 +0100] "GET / HTTP/1.1" 200 6440
54.36.24.64 - - [27/Dec/2017:18:39:06 +0100] "GET /davosersee.shtml HTTP/1.1" 200 19505
54.36.24.64 - - [27/Dec/2017:18:39:05 +0100] "GET / HTTP/1.1" 200 35804
54.36.24.64 - - [27/Dec/2017:18:39:06 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21862
54.36.24.64 - - [27/Dec/2017:18:39:06 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18388
54.36.24.64 - - [27/Dec/2017:18:39:07 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
54.36.24.64 - - [27/Dec/2017:18:39:07 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
54.36.24.64 - - [27/Dec/2017:18:39:07 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
54.36.24.64 - - [27/Dec/2017:18:39:07 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
54.36.24.64 - - [27/Dec/2017:18:39:07 +0100] "GET /events.shtml HTTP/1.1" 200 22514
54.36.24.64 - - [27/Dec/2017:18:39:08 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
54.36.24.64 - - [27/Dec/2017:18:39:08 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
54.36.24.64 - - [27/Dec/2017:18:39:08 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
54.36.24.64 - - [27/Dec/2017:18:39:09 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
54.36.24.64 - - [27/Dec/2017:18:39:09 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
54.36.24.64 - - [27/Dec/2017:18:39:09 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
54.36.24.64 - - [27/Dec/2017:18:39:09 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 49926
54.36.24.64 - - [27/Dec/2017:18:39:10 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
54.36.24.64 - - [27/Dec/2017:18:39:10 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
54.36.24.64 - - [27/Dec/2017:18:39:10 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
54.36.24.64 - - [27/Dec/2017:18:39:10 +0100] "GET /standort.shtml HTTP/1.1" 200 17547
54.36.24.64 - - [27/Dec/2017:18:39:10 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
54.36.24.64 - - [27/Dec/2017:18:39:10 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
54.36.24.64 - - [27/Dec/2017:18:39:10 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
54.36.24.64 - - [27/Dec/2017:18:39:10 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
54.36.24.64 - - [27/Dec/2017:18:39:11 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
54.36.24.64 - - [27/Dec/2017:18:39:11 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
54.36.24.64 - - [27/Dec/2017:18:39:11 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
54.36.24.64 - - [27/Dec/2017:18:39:11 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
