64.233.173.41 - - [22/Jan/2018:13:13:00 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
173.243.112.12 - - [22/Jan/2018:13:27:09 +0100] "GET / HTTP/1.1" 200 35804
173.243.112.12 - - [22/Jan/2018:13:27:09 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21862
173.243.112.12 - - [22/Jan/2018:13:27:12 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
173.243.112.12 - - [22/Jan/2018:13:27:12 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18388
173.243.112.12 - - [22/Jan/2018:13:27:12 +0100] "GET /davosersee.shtml HTTP/1.1" 200 19505
173.243.112.12 - - [22/Jan/2018:13:27:13 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
173.243.112.12 - - [22/Jan/2018:13:27:13 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
173.243.112.12 - - [22/Jan/2018:13:27:14 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
173.243.112.12 - - [22/Jan/2018:13:27:14 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
173.243.112.12 - - [22/Jan/2018:13:27:14 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
173.243.112.12 - - [22/Jan/2018:13:27:14 +0100] "GET /events.shtml HTTP/1.1" 200 22514
173.243.112.12 - - [22/Jan/2018:13:27:15 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
173.243.112.12 - - [22/Jan/2018:13:27:15 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
173.243.112.12 - - [22/Jan/2018:13:27:15 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
173.243.112.12 - - [22/Jan/2018:13:27:16 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
173.243.112.12 - - [22/Jan/2018:13:27:16 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 49926
173.243.112.12 - - [22/Jan/2018:13:27:17 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
173.243.112.12 - - [22/Jan/2018:13:27:17 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
173.243.112.12 - - [22/Jan/2018:13:27:18 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
173.243.112.12 - - [22/Jan/2018:13:27:18 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
173.243.112.12 - - [22/Jan/2018:13:27:18 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
173.243.112.12 - - [22/Jan/2018:13:27:19 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
173.243.112.12 - - [22/Jan/2018:13:27:19 +0100] "GET /standort.shtml HTTP/1.1" 200 17547
173.243.112.12 - - [22/Jan/2018:13:27:19 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
173.243.112.12 - - [22/Jan/2018:13:27:19 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
173.243.112.12 - - [22/Jan/2018:13:27:19 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
173.243.112.12 - - [22/Jan/2018:13:27:19 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
173.243.112.12 - - [22/Jan/2018:13:27:22 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
13.56.229.65 - - [22/Jan/2018:13:39:41 +0100] "GET / HTTP/1.1" 200 6440
157.55.39.133 - - [22/Jan/2018:13:40:10 +0100] "GET /robots.txt HTTP/1.1" 200 80
157.55.39.133 - - [22/Jan/2018:13:40:10 +0100] "GET /robots.txt HTTP/1.1" 200 80
207.46.13.146 - - [22/Jan/2018:13:40:16 +0100] "GET / HTTP/1.1" 200 6440
35.226.23.240 - - [22/Jan/2018:13:46:31 +0100] "GET /robots.txt HTTP/1.1" 200 80
