54.36.148.147 - - [23/Jan/2018:09:04:44 +0100] "GET /var/m_0/0d/0dd/12455/143519-G2_Optikurs2014_14.JPG HTTP/1.1" 200 71703
88.99.240.172 - - [23/Jan/2018:09:05:55 +0100] "GET /robots.txt HTTP/1.1" 200 120
88.99.240.172 - - [23/Jan/2018:09:05:55 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
94.130.79.140 - - [23/Jan/2018:09:11:28 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:33 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:33 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:33 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:33 +0100] "GET / HTTP/1.1" 200 35804
94.130.79.140 - - [23/Jan/2018:09:11:33 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:34 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:35 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:35 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:35 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:35 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:35 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:35 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:40 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:41 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:42 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:42 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:42 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:42 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:42 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:42 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:42 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:42 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:47 +0100] "GET /events.shtml HTTP/1.1" 200 22514
94.130.79.140 - - [23/Jan/2018:09:11:47 +0100] "GET /robots.txt HTTP/1.0" 200 120
94.130.79.140 - - [23/Jan/2018:09:11:47 +0100] "GET /robots.txt HTTP/1.0" 200 120
