68.180.229.163 - - [29/Jan/2018:19:40:39 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 4575
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET / HTTP/1.1" 200 6440
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1283
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
91.239.52.10 - - [29/Jan/2018:19:43:23 +0100] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/8218280-65_Regatta.JPG HTTP/1.1" 200 192350
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/6564603-SK_Tro_Head.jpg HTTP/1.1" 200 136780
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/143586-SP_DK1.jpg HTTP/1.1" 200 3071
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/143580-SP_Heierling1.jpg HTTP/1.1" 200 2613
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/143584-SP_Lemm1.jpg HTTP/1.1" 200 2321
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/8288159-EWD_rgb_pos.jpg HTTP/1.1" 200 207458
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /var/m_0/0d/0dd/12455/143582-SP_Gipfel1.jpg HTTP/1.1" 200 2688
91.239.52.10 - - [29/Jan/2018:19:43:24 +0100] "GET /templates/resellers/7/favicon.ico?v=1506103971 HTTP/1.1" 200 4286
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /kurse.shtml HTTP/1.1" 200 6280
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
91.239.52.10 - - [29/Jan/2018:19:43:35 +0100] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
91.239.52.10 - - [29/Jan/2018:19:43:36 +0100] "GET /templates/resellers/7/favicon.ico?v=1506147134 HTTP/1.1" 200 4286
91.239.52.10 - - [29/Jan/2018:19:43:36 +0100] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
91.239.52.10 - - [29/Jan/2018:19:44:06 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 5378
91.239.52.10 - - [29/Jan/2018:19:44:06 +0100] "GET /templates/resellers/7/favicon.ico?v=1506149034 HTTP/1.1" 200 4286
91.239.52.10 - - [29/Jan/2018:19:45:09 +0100] "GET /kurse.shtml HTTP/1.1" 200 6280
91.239.52.10 - - [29/Jan/2018:19:45:28 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5139
91.239.52.10 - - [29/Jan/2018:19:45:28 +0100] "GET /templates/resellers/7/favicon.ico?v=1506149035 HTTP/1.1" 200 4286
91.239.52.10 - - [29/Jan/2018:19:45:53 +0100] "GET /kurse.shtml HTTP/1.1" 200 6280
91.239.52.10 - - [29/Jan/2018:19:46:26 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 5895
91.239.52.10 - - [29/Jan/2018:19:46:26 +0100] "GET /templates/resellers/7/favicon.ico?v=1506149031 HTTP/1.1" 200 4286
