216.244.66.201 - - [31/Jan/2018:13:01:06 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
54.36.24.64 - - [31/Jan/2018:13:34:55 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 21862
54.36.24.64 - - [31/Jan/2018:13:34:55 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18388
54.36.24.64 - - [31/Jan/2018:13:34:55 +0100] "GET / HTTP/1.1" 200 35804
54.36.24.64 - - [31/Jan/2018:13:34:55 +0100] "GET /davosersee.shtml HTTP/1.1" 200 19505
54.36.24.64 - - [31/Jan/2018:13:34:56 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
54.36.24.64 - - [31/Jan/2018:13:34:56 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
54.36.24.64 - - [31/Jan/2018:13:34:56 +0100] "GET /events.shtml HTTP/1.1" 200 22514
54.36.24.64 - - [31/Jan/2018:13:34:56 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
54.36.24.64 - - [31/Jan/2018:13:34:56 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
54.36.24.64 - - [31/Jan/2018:13:34:57 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
54.36.24.64 - - [31/Jan/2018:13:34:57 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
54.36.24.64 - - [31/Jan/2018:13:34:57 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
54.36.24.64 - - [31/Jan/2018:13:34:57 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
54.36.24.64 - - [31/Jan/2018:13:34:57 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
54.36.24.64 - - [31/Jan/2018:13:34:57 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
54.36.24.64 - - [31/Jan/2018:13:34:58 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
54.36.24.64 - - [31/Jan/2018:13:34:58 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
54.36.24.64 - - [31/Jan/2018:13:34:58 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 49926
54.36.24.64 - - [31/Jan/2018:13:34:59 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
54.36.24.64 - - [31/Jan/2018:13:34:59 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
54.36.24.64 - - [31/Jan/2018:13:34:59 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
54.36.24.64 - - [31/Jan/2018:13:34:59 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
54.36.24.64 - - [31/Jan/2018:13:34:59 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
54.36.24.64 - - [31/Jan/2018:13:34:59 +0100] "GET /standort.shtml HTTP/1.1" 200 17547
54.36.24.64 - - [31/Jan/2018:13:35:00 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
54.36.24.64 - - [31/Jan/2018:13:35:00 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
54.36.24.64 - - [31/Jan/2018:13:35:00 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
54.36.24.64 - - [31/Jan/2018:13:35:00 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
180.76.15.155 - - [31/Jan/2018:13:57:41 +0100] "GET /robots.txt HTTP/1.1" 200 80
180.76.15.156 - - [31/Jan/2018:13:57:41 +0100] "GET /robots.txt HTTP/1.1" 200 80
