216.244.66.201 - - [02/Feb/2018:12:17:46 +0100] "GET /standort.shtml HTTP/1.1" 200 17547
151.80.27.116 - - [02/Feb/2018:12:30:19 +0100] "GET /var/m_0/0d/0dd/12455/143479-G1_SKT2014_03.JPG HTTP/1.1" 200 139406
142.44.149.89 - - [02/Feb/2018:12:37:49 +0100] "GET / HTTP/1.1" 200 35804
142.44.149.89 - - [02/Feb/2018:12:37:51 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
142.44.149.89 - - [02/Feb/2018:12:37:50 +0100] "GET /events.shtml HTTP/1.1" 200 22514
142.44.149.89 - - [02/Feb/2018:12:37:52 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
142.44.149.89 - - [02/Feb/2018:12:37:52 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
142.44.149.89 - - [02/Feb/2018:12:37:53 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
142.44.149.89 - - [02/Feb/2018:12:37:53 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
142.44.149.89 - - [02/Feb/2018:12:37:54 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
142.44.149.89 - - [02/Feb/2018:12:37:54 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
142.44.149.89 - - [02/Feb/2018:12:37:54 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
142.44.149.89 - - [02/Feb/2018:12:37:55 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
142.44.149.89 - - [02/Feb/2018:12:37:55 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
142.44.149.89 - - [02/Feb/2018:12:37:56 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
142.44.149.89 - - [02/Feb/2018:12:37:56 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
142.44.149.89 - - [02/Feb/2018:12:37:57 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
142.44.149.89 - - [02/Feb/2018:12:37:57 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
142.44.149.89 - - [02/Feb/2018:12:37:57 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
142.44.149.89 - - [02/Feb/2018:12:37:58 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
142.44.149.89 - - [02/Feb/2018:12:37:58 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
142.44.149.89 - - [02/Feb/2018:12:37:58 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
142.44.149.89 - - [02/Feb/2018:12:37:58 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
142.44.149.89 - - [02/Feb/2018:12:37:59 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
142.44.149.89 - - [02/Feb/2018:12:37:59 +0100] "GET /js/).html(a);null==$( HTTP/1.1" 200 219
142.44.149.89 - - [02/Feb/2018:12:37:59 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
142.44.149.89 - - [02/Feb/2018:12:38:00 +0100] "GET /davosersee HTTP/1.1" 200 19505
142.44.149.89 - - [02/Feb/2018:12:38:00 +0100] "GET /event-gruppesmartkat HTTP/1.1" 200 21256
142.44.149.89 - - [02/Feb/2018:12:38:01 +0100] "GET /event-matchracing HTTP/1.1" 200 21251
142.44.149.89 - - [02/Feb/2018:12:38:01 +0100] "GET /event-pedalo HTTP/1.1" 200 20248
142.44.149.89 - - [02/Feb/2018:12:38:01 +0100] "GET /events HTTP/1.1" 200 22514
142.44.149.89 - - [02/Feb/2018:12:38:02 +0100] "GET /flotte HTTP/1.1" 200 29385
