40.77.167.68 - - [05/Feb/2018:08:15:22 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 5171
188.165.200.217 - - [05/Feb/2018:08:22:05 +0100] "HEAD / HTTP/1.1" 403 -
13.56.229.65 - - [05/Feb/2018:08:31:14 +0100] "GET / HTTP/1.1" 200 6440
95.108.181.76 - - [05/Feb/2018:08:36:44 +0100] "GET /robots.txt HTTP/1.1" 200 120
95.108.181.76 - - [05/Feb/2018:08:36:48 +0100] "GET /kurse.shtml HTTP/1.1" 200 6280
157.55.39.120 - - [05/Feb/2018:08:41:06 +0100] "GET / HTTP/1.1" 200 6440
216.244.66.201 - - [05/Feb/2018:08:42:02 +0100] "GET /optikurse-2014 HTTP/1.1" 200 26353
178.198.71.125 - - [05/Feb/2018:08:55:37 +0100] "GET /kinder-segelkurs HTTP/1.1" 200 5172
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /css/widgets/concat_widget.min.css?v=6.6.7.2.41064 HTTP/1.1" 200 24507
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
178.198.71.125 - - [05/Feb/2018:08:55:38 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
178.198.71.125 - - [05/Feb/2018:08:56:21 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 5171
