216.244.66.248 - - [07/Feb/2018:10:03:14 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
54.36.150.172 - - [07/Feb/2018:10:05:17 +0100] "GET /robots.txt HTTP/1.1" 200 80
54.36.149.56 - - [07/Feb/2018:10:05:18 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 5939
217.182.132.154 - - [07/Feb/2018:10:08:58 +0100] "GET /var/m_0/0d/0dd/12455/143519-G2_Optikurs2014_14.JPG HTTP/1.1" 200 71703
66.249.75.14 - - [07/Feb/2018:10:19:31 +0100] "GET / HTTP/1.1" 200 6401
34.239.107.38 - - [07/Feb/2018:10:20:16 +0100] "GET /robots.txt HTTP/1.1" 200 80
34.239.107.38 - - [07/Feb/2018:10:20:17 +0100] "GET / HTTP/1.1" 200 6440
68.180.229.163 - - [07/Feb/2018:10:20:57 +0100] "GET /robots.txt HTTP/1.1" 200 120
68.180.229.163 - - [07/Feb/2018:10:20:58 +0100] "GET / HTTP/1.1" 200 6440
68.180.229.106 - - [07/Feb/2018:10:22:51 +0100] "GET /robots.txt HTTP/1.1" 200 120
68.180.229.106 - - [07/Feb/2018:10:22:52 +0100] "GET / HTTP/1.1" 200 6440
37.115.184.155 - - [07/Feb/2018:10:23:42 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 200 19955
37.115.184.155 - - [07/Feb/2018:10:23:43 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 200 19955
37.115.184.155 - - [07/Feb/2018:10:23:44 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 200 19955
68.180.229.106 - - [07/Feb/2018:10:26:14 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5139
68.180.229.106 - - [07/Feb/2018:10:26:41 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 5895
188.163.79.63 - - [07/Feb/2018:10:27:31 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 200 19955
188.163.79.63 - - [07/Feb/2018:10:27:33 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 200 19955
188.163.79.63 - - [07/Feb/2018:10:27:32 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 200 19955
68.180.229.106 - - [07/Feb/2018:10:34:00 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 4808
54.183.130.127 - - [07/Feb/2018:10:53:39 +0100] "GET / HTTP/1.1" 200 6440
