54.36.148.225 - - [20/Feb/2018:23:05:23 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 4593
195.141.126.4 - - [20/Feb/2018:23:38:06 +0100] "GET /events.shtml HTTP/1.1" 200 5309
195.141.126.4 - - [20/Feb/2018:23:41:09 +0100] "GET /davosersee.shtml HTTP/1.1" 200 5492
195.141.126.4 - - [20/Feb/2018:23:41:54 +0100] "GET /flotte.shtml HTTP/1.1" 200 6291
195.141.126.4 - - [20/Feb/2018:23:42:40 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 5930
195.141.126.4 - - [20/Feb/2018:23:42:51 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 5396
195.141.126.4 - - [20/Feb/2018:23:43:02 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 5167
195.141.126.4 - - [20/Feb/2018:23:43:12 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 4819
195.141.126.4 - - [20/Feb/2018:23:43:22 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5130
37.134.171.233 - - [20/Feb/2018:23:52:04 +0100] "GET / HTTP/1.1" 200 34023
37.134.171.233 - - [20/Feb/2018:23:52:05 +0100] "GET /events.shtml HTTP/1.1" 200 22454
37.134.171.233 - - [20/Feb/2018:23:52:05 +0100] "GET /galerie.shtml HTTP/1.1" 200 25025
37.134.171.233 - - [20/Feb/2018:23:52:05 +0100] "GET /kurse.shtml HTTP/1.1" 200 30914
37.134.171.233 - - [20/Feb/2018:23:52:06 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21269
37.134.171.233 - - [20/Feb/2018:23:52:06 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25630
37.134.171.233 - - [20/Feb/2018:23:52:06 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21264
37.134.171.233 - - [20/Feb/2018:23:52:07 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20261
37.134.171.233 - - [20/Feb/2018:23:52:07 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29926
37.134.171.233 - - [20/Feb/2018:23:52:07 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21717
37.134.171.233 - - [20/Feb/2018:23:52:07 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20587
37.134.171.233 - - [20/Feb/2018:23:52:08 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49433
37.134.171.233 - - [20/Feb/2018:23:52:08 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26366
37.134.171.233 - - [20/Feb/2018:23:52:09 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21573
37.134.171.233 - - [20/Feb/2018:23:52:09 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19824
37.134.171.233 - - [20/Feb/2018:23:52:09 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23232
37.134.171.233 - - [20/Feb/2018:23:52:09 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19693
37.134.171.233 - - [20/Feb/2018:23:52:09 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17818
37.134.171.233 - - [20/Feb/2018:23:52:10 +0100] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 7672
37.134.171.233 - - [20/Feb/2018:23:52:10 +0100] "GET /flotte.shtml HTTP/1.1" 200 29151
37.134.171.233 - - [20/Feb/2018:23:52:10 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18235
37.134.171.233 - - [20/Feb/2018:23:52:11 +0100] "GET /js/jquery.lazyload.min.js?v=6.9.42201 HTTP/1.1" 200 3342
37.134.171.233 - - [20/Feb/2018:23:52:11 +0100] "GET /js/).html(a);null==$( HTTP/1.1" 200 219
37.134.171.233 - - [20/Feb/2018:23:52:13 +0100] "GET /js/footer/build_social_entries.min.js?v=6.9.42201 HTTP/1.1" 200 766
37.134.171.233 - - [20/Feb/2018:23:52:13 +0100] "GET /js/fancybox2/jquery.fancybox.min.js?v=6.9.42201 HTTP/1.1" 200 17187
37.134.171.233 - - [20/Feb/2018:23:52:13 +0100] "GET /js/footer/get_deps.min.js?v=6.9.42201 HTTP/1.1" 200 149
37.134.171.233 - - [20/Feb/2018:23:52:13 +0100] "GET /js/efu/w.gallery.min.js?v=6.9.42201 HTTP/1.1" 200 233
37.134.171.233 - - [20/Feb/2018:23:52:13 +0100] "GET /js/efu/main.min.js?v=6.9.42201 HTTP/1.1" 200 4962
37.134.171.233 - - [20/Feb/2018:23:52:13 +0100] "GET /js/galleryLightbox/gallery-paging.min.js?v=6.9.42201 HTTP/1.1" 200 2904
37.134.171.233 - - [20/Feb/2018:23:52:13 +0100] "GET /js/efu/)&&efu.loader.show(),this.$.text.html(a))},c=function(a){efu.log( HTTP/1.1" 200 278
