195.141.126.4 - - [10/Mar/2018:20:17:56 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 10856
157.55.39.47 - - [10/Mar/2018:20:18:35 +0100] "GET /robots.txt HTTP/1.1" 200 80
157.55.39.47 - - [10/Mar/2018:20:18:36 +0100] "GET /robots.txt HTTP/1.1" 200 80
40.77.167.49 - - [10/Mar/2018:20:18:39 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 4819
216.244.66.229 - - [10/Mar/2018:20:22:56 +0100] "GET /robots.txt HTTP/1.1" 200 120
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET / HTTP/1.1" 200 6261
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /js/footer/get_deps.min.js?v=6.9.42201 HTTP/1.1" 200 157
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /css/widgets/concat_widget.min.css?v=6.9.42201 HTTP/1.1" 200 23051
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /js/footer/build_social_entries.min.js?v=6.9.42201 HTTP/1.1" 200 278
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 3186
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /js/jquery.lazyload.min.js?v=6.9.42201 HTTP/1.1" 200 1283
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /var/m_0/0d/0dd/12455/125491-11_Winterschlaf.jpg HTTP/1.1" 200 61429
92.105.32.123 - - [10/Mar/2018:20:32:25 +0100] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
