123.125.71.103 - - [22/May/2018:16:09:01 +0200] "GET /templates/menus/m_c/c0/c0e/219/ltr/menu.css?v=6.0.4.36480 HTTP/1.1" 200 1041
217.69.134.160 - - [22/May/2018:16:12:19 +0200] "GET /robots.txt HTTP/1.1" 200 80
217.69.134.155 - - [22/May/2018:16:13:29 +0200] "GET / HTTP/1.1" 200 6324
216.244.66.229 - - [22/May/2018:16:19:38 +0200] "GET /robots.txt HTTP/1.1" 200 120
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /aktuelles-wetter HTTP/1.1" 200 4574
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /css/skeleton.css HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /js/footer/get_deps.min.js?v=6.9.42201 HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.42201 HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.42201 HTTP/1.1" 200 278
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:11 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:12 +0200] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 304 -
178.197.226.55 - - [22/May/2018:16:27:12 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 304 -
138.201.207.91 - - [22/May/2018:16:31:44 +0200] "GET /kurse.shtml HTTP/1.1" 200 31059
138.201.207.91 - - [22/May/2018:16:31:44 +0200] "GET /robots.txt HTTP/1.1" 200 120
178.197.226.55 - - [22/May/2018:16:51:07 +0200] "GET /aktuelles-wetter HTTP/1.1" 200 4574
