178.197.227.7 - - [27/May/2018:08:00:09 +0200] "GET /aktuelles-wetter HTTP/1.1" 200 4574
35.226.23.240 - - [27/May/2018:08:06:40 +0200] "GET /robots.txt HTTP/1.1" 200 80
216.244.66.248 - - [27/May/2018:08:10:55 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [27/May/2018:08:10:55 +0200] "GET /robots.txt HTTP/1.1" 200 120
35.226.23.240 - - [27/May/2018:08:17:56 +0200] "GET /robots.txt HTTP/1.1" 200 80
216.244.66.248 - - [27/May/2018:08:20:26 +0200] "GET /var/m_0/0d/0dd/12455/7230936-G4_Event_SK_04.jpg HTTP/1.1" 200 87335
157.55.39.15 - - [27/May/2018:08:20:41 +0200] "GET /robots.txt HTTP/1.1" 200 80
207.46.13.55 - - [27/May/2018:08:22:11 +0200] "GET /var/m_0/0d/0dd/12455/6564603-SK_Tro_Head.jpg HTTP/1.1" 200 136780
216.244.66.248 - - [27/May/2018:08:23:12 +0200] "GET /var/m_0/0d/0dd/12455/143486-G1_SKT2014_10.JPG HTTP/1.1" 200 129005
216.244.66.248 - - [27/May/2018:08:34:42 +0200] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.214 - - [27/May/2018:08:35:37 +0200] "GET /flotte HTTP/1.1" 200 6291
77.75.78.162 - - [27/May/2018:08:49:05 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.78.162 - - [27/May/2018:08:49:06 +0200] "GET /kursanmeldung HTTP/1.1" 200 10854
216.244.66.248 - - [27/May/2018:08:58:26 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [27/May/2018:08:58:26 +0200] "GET /robots.txt HTTP/1.1" 200 120
