216.244.66.248 - - [15/Jun/2018:18:18:11 +0200] "GET /robots.txt HTTP/1.1" 200 120
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 5098
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /js/footer/get_deps.min.js?v=6.9.42201 HTTP/1.1" 200 157
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.42201 HTTP/1.1" 200 278
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.42201 HTTP/1.1" 200 23051
81.221.232.188 - - [15/Jun/2018:18:31:16 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
81.221.232.188 - - [15/Jun/2018:18:31:17 +0200] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 3186
81.221.232.188 - - [15/Jun/2018:18:31:17 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
81.221.232.188 - - [15/Jun/2018:18:31:17 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
