157.55.39.106 - - [23/Jun/2018:06:00:00 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
85.25.210.234 - - [23/Jun/2018:06:12:13 +0200] "GET /robots.txt HTTP/1.1" 301 324
85.25.210.234 - - [23/Jun/2018:06:12:14 +0200] "GET /robots.txt HTTP/1.1" 200 80
85.25.210.234 - - [23/Jun/2018:06:12:15 +0200] "GET /var/m_0/0d/0dd/12455/143520-G2_Optikurs2014_15.JPG HTTP/1.1" 301 364
85.25.210.234 - - [23/Jun/2018:06:12:16 +0200] "GET /var/m_0/0d/0dd/12455/143520-G2_Optikurs2014_15.JPG HTTP/1.1" 200 71469
85.25.210.234 - - [23/Jun/2018:06:14:19 +0200] "GET /robots.txt HTTP/1.1" 301 324
85.25.210.234 - - [23/Jun/2018:06:14:20 +0200] "GET /robots.txt HTTP/1.1" 200 80
85.25.210.234 - - [23/Jun/2018:06:14:30 +0200] "GET /var/m_0/0d/0dd/12455/143496-G1_SKT2014_18.JPG HTTP/1.1" 301 359
85.25.210.234 - - [23/Jun/2018:06:14:35 +0200] "GET /var/m_0/0d/0dd/12455/143496-G1_SKT2014_18.JPG HTTP/1.1" 200 172278
85.25.210.234 - - [23/Jun/2018:06:14:35 +0200] "GET /robots.txt HTTP/1.1" 200 80
62.138.0.25 - - [23/Jun/2018:06:15:37 +0200] "GET /robots.txt HTTP/1.1" 301 324
62.138.0.25 - - [23/Jun/2018:06:15:38 +0200] "GET /robots.txt HTTP/1.1" 200 80
62.138.0.25 - - [23/Jun/2018:06:15:39 +0200] "GET /var/m_0/0d/0dd/12455/6564695-G3_SKT2015_25.jpg HTTP/1.1" 200 121143
62.138.0.25 - - [23/Jun/2018:06:15:39 +0200] "GET /var/m_0/0d/0dd/12455/6564695-G3_SKT2015_25.jpg HTTP/1.1" 301 360
216.244.66.248 - - [23/Jun/2018:06:19:51 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [23/Jun/2018:06:19:52 +0200] "GET /robots.txt HTTP/1.1" 200 120
178.154.200.46 - - [23/Jun/2018:06:25:00 +0200] "GET /robots.txt HTTP/1.1" 200 120
5.45.207.72 - - [23/Jun/2018:06:25:04 +0200] "GET /favicon.ico HTTP/1.1" 200 1150
85.25.210.234 - - [23/Jun/2018:06:39:13 +0200] "GET /robots.txt HTTP/1.1" 301 324
85.25.210.234 - - [23/Jun/2018:06:39:15 +0200] "GET /robots.txt HTTP/1.1" 200 80
85.25.210.234 - - [23/Jun/2018:06:39:16 +0200] "GET /var/m_0/0d/0dd/12455/6564676-G3_SKT2015_09.jpg HTTP/1.1" 301 360
85.25.210.234 - - [23/Jun/2018:06:39:17 +0200] "GET /var/m_0/0d/0dd/12455/6564676-G3_SKT2015_09.jpg HTTP/1.1" 200 150721
85.25.210.234 - - [23/Jun/2018:06:40:46 +0200] "GET /robots.txt HTTP/1.1" 301 324
85.25.210.234 - - [23/Jun/2018:06:40:46 +0200] "GET /robots.txt HTTP/1.1" 200 80
85.25.210.234 - - [23/Jun/2018:06:40:47 +0200] "GET /var/m_0/0d/0dd/12455/143499-G1_SKT2014_21.JPG HTTP/1.1" 301 359
85.25.210.234 - - [23/Jun/2018:06:40:48 +0200] "GET /var/m_0/0d/0dd/12455/143499-G1_SKT2014_21.JPG HTTP/1.1" 200 148511
216.244.66.248 - - [23/Jun/2018:06:44:57 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [23/Jun/2018:06:44:59 +0200] "GET /robots.txt HTTP/1.1" 200 120
62.138.0.25 - - [23/Jun/2018:06:46:08 +0200] "GET /robots.txt HTTP/1.1" 301 324
62.138.0.25 - - [23/Jun/2018:06:46:20 +0200] "GET /robots.txt HTTP/1.1" 200 80
62.138.0.25 - - [23/Jun/2018:06:46:21 +0200] "GET /var/m_0/0d/0dd/12455/6564669-G3_SKT2015_03.jpg HTTP/1.1" 301 360
62.138.0.25 - - [23/Jun/2018:06:46:21 +0200] "GET /var/m_0/0d/0dd/12455/6564669-G3_SKT2015_03.jpg HTTP/1.1" 200 114866
