95.216.13.32 - - [28/Jun/2018:04:47:19 +0200] "GET /%c3%bcber-uns.shtml HTTP/1.1" 404 -
46.118.117.97 - - [28/Jun/2018:05:11:40 +0200] "GET / HTTP/1.1" 301 314
46.118.117.97 - - [28/Jun/2018:05:11:41 +0200] "GET / HTTP/1.1" 301 314
216.244.66.248 - - [28/Jun/2018:05:17:01 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [28/Jun/2018:05:17:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.78.171 - - [28/Jun/2018:05:17:13 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.78.171 - - [28/Jun/2018:05:17:14 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5090
77.75.78.171 - - [28/Jun/2018:05:17:15 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 301 340
77.75.78.171 - - [28/Jun/2018:05:17:15 +0200] "GET /robots.txt HTTP/1.1" 301 324
35.204.255.141 - - [28/Jun/2018:05:28:55 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 301 352
35.204.255.141 - - [28/Jun/2018:05:28:57 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
216.244.66.248 - - [28/Jun/2018:05:39:58 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [28/Jun/2018:05:39:59 +0200] "GET /robots.txt HTTP/1.1" 200 120
35.204.156.156 - - [28/Jun/2018:05:44:09 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 301 358
35.204.156.156 - - [28/Jun/2018:05:44:12 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
