178.195.91.49 - - [28/Jun/2018:12:00:39 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
54.36.148.132 - - [28/Jun/2018:12:00:56 +0200] "GET /var/m_0/0d/0dd/12455/6564685-G3_SKT2015_16.jpg HTTP/1.1" 200 129971
89.247.127.10 - - [28/Jun/2018:12:10:48 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5090
89.247.127.10 - - [28/Jun/2018:12:10:48 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229038 HTTP/1.1" 200 4286
89.247.127.10 - - [28/Jun/2018:12:11:07 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
89.247.127.10 - - [28/Jun/2018:12:11:06 +0200] "GET /kurse.shtml HTTP/1.1" 200 6276
89.247.127.10 - - [28/Jun/2018:12:11:49 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229034 HTTP/1.1" 200 4286
89.247.127.10 - - [28/Jun/2018:12:11:49 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 5154
89.247.127.10 - - [28/Jun/2018:12:11:49 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
89.247.127.10 - - [28/Jun/2018:12:11:49 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229034 HTTP/1.1" 200 4286
89.247.127.10 - - [28/Jun/2018:12:11:49 +0200] "GET /favicon.ico HTTP/1.1" 200 1150
35.204.85.149 - - [28/Jun/2018:12:12:04 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 301 365
35.204.85.149 - - [28/Jun/2018:12:12:05 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /flotte.shtml HTTP/1.1" 301 326
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /flotte.shtml HTTP/1.1" 200 6277
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /templates/resellers/7/favicon.ico?v=1529206743 HTTP/1.1" 200 4286
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
89.247.127.10 - - [28/Jun/2018:12:12:12 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /vermietung.shtml HTTP/1.1" 301 322
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /templates/resellers/7/favicon.ico?v=1529226041 HTTP/1.1" 200 4286
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5101
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
89.247.127.10 - - [28/Jun/2018:12:12:22 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
89.247.127.10 - - [28/Jun/2018:12:12:57 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
89.247.127.10 - - [28/Jun/2018:12:12:57 +0200] "GET /flotte.shtml HTTP/1.1" 200 6277
89.247.127.10 - - [28/Jun/2018:12:12:57 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
89.247.127.10 - - [28/Jun/2018:12:13:10 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 335
89.247.127.10 - - [28/Jun/2018:12:13:10 +0200] "GET /templates/resellers/7/favicon.ico?v=1529229038 HTTP/1.1" 200 4286
89.247.127.10 - - [28/Jun/2018:12:13:10 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5090
89.247.127.10 - - [28/Jun/2018:12:13:26 +0200] "GET /kurse.shtml HTTP/1.1" 301 325
89.247.127.10 - - [28/Jun/2018:12:13:26 +0200] "GET /kurse.shtml HTTP/1.1" 200 6276
89.247.127.10 - - [28/Jun/2018:12:13:27 +0200] "GET /templates/resellers/7/favicon.ico?v=1529228995 HTTP/1.1" 200 4286
188.40.106.124 - - [28/Jun/2018:12:14:54 +0200] "GET / HTTP/1.1" 200 6741
188.40.106.124 - - [28/Jun/2018:12:14:54 +0200] "GET /robots.txt HTTP/1.1" 200 80
188.40.106.124 - - [28/Jun/2018:12:14:54 +0200] "GET / HTTP/1.1" 301 314
188.40.106.124 - - [28/Jun/2018:12:14:54 +0200] "GET /robots.txt HTTP/1.1" 301 316
188.40.106.124 - - [28/Jun/2018:12:15:00 +0200] "GET /index.php HTTP/1.1" 301 323
188.40.106.124 - - [28/Jun/2018:12:15:01 +0200] "GET / HTTP/1.1" 301 314
188.40.106.124 - - [28/Jun/2018:12:15:01 +0200] "GET / HTTP/1.1" 200 6741
188.40.106.124 - - [28/Jun/2018:12:15:00 +0200] "GET /index.php HTTP/1.1" 302 -
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /kurse.shtml HTTP/1.1" 200 6276
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
89.247.127.10 - - [28/Jun/2018:12:15:25 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
89.247.127.10 - - [28/Jun/2018:12:15:26 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
89.247.127.10 - - [28/Jun/2018:12:15:26 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
89.247.127.10 - - [28/Jun/2018:12:15:26 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
89.247.127.10 - - [28/Jun/2018:12:15:26 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
89.247.127.10 - - [28/Jun/2018:12:15:26 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
89.247.127.10 - - [28/Jun/2018:12:15:26 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
89.247.127.10 - - [28/Jun/2018:12:15:26 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
89.247.127.10 - - [28/Jun/2018:12:15:26 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
54.36.149.61 - - [28/Jun/2018:12:16:16 +0200] "GET / HTTP/1.1" 301 314
196.3.50.254 - - [28/Jun/2018:12:17:37 +0200] "GET /davosersee HTTP/1.1" 301 316
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /davosersee HTTP/1.1" 200 5481
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
196.3.50.248 - - [28/Jun/2018:12:17:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
196.3.50.248 - - [28/Jun/2018:12:17:39 +0200] "GET /templates/resellers/7/favicon.ico?v=1529179726 HTTP/1.1" 200 4286
196.3.50.248 - - [28/Jun/2018:12:17:48 +0200] "GET /davosersee HTTP/1.1" 200 5481
196.3.50.248 - - [28/Jun/2018:12:17:52 +0200] "GET /davosersee HTTP/1.1" 200 5481
196.3.50.254 - - [28/Jun/2018:12:17:54 +0200] "GET /davosersee HTTP/1.1" 301 316
196.3.50.248 - - [28/Jun/2018:12:17:55 +0200] "GET /davosersee HTTP/1.1" 200 5481
196.3.50.248 - - [28/Jun/2018:12:17:57 +0200] "GET /davosersee HTTP/1.1" 200 5481
47.96.233.155 - - [28/Jun/2018:12:19:17 +0200] "HEAD /libraries/phputf8/xost-locale.php HTTP/1.1" 301 -
47.96.233.155 - - [28/Jun/2018:12:19:18 +0200] "HEAD /libraries/phputf8/xost-locale.php HTTP/1.1" 200 -
216.244.66.248 - - [28/Jun/2018:12:21:37 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [28/Jun/2018:12:21:38 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.76.169 - - [28/Jun/2018:12:42:04 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 5917
77.75.76.169 - - [28/Jun/2018:12:42:04 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.76.169 - - [28/Jun/2018:12:42:05 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 301 330
77.75.76.169 - - [28/Jun/2018:12:42:05 +0200] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [28/Jun/2018:12:45:35 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [28/Jun/2018:12:45:37 +0200] "GET /robots.txt HTTP/1.1" 200 120
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /davosersee HTTP/1.1" 200 5481
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
172.17.219.21, 195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /davosersee HTTP/1.1" 301 316
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
195.65.38.111 - - [28/Jun/2018:12:51:50 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
195.65.38.111 - - [28/Jun/2018:12:51:51 +0200] "GET /templates/resellers/7/favicon.ico?v=1529179726 HTTP/1.1" 200 4286
66.249.66.142 - - [28/Jun/2018:12:59:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 301 377
66.249.66.144 - - [28/Jun/2018:12:59:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 301 375
66.249.66.142 - - [28/Jun/2018:12:59:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 301 376
66.249.66.142 - - [28/Jun/2018:12:59:27 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 301 381
66.249.66.144 - - [28/Jun/2018:12:59:28 +0200] "GET /css/skeleton.css HTTP/1.1" 301 330
