54.36.149.7 - - [29/Jun/2018:05:14:40 +0200] "GET /event-gruppesmartkat HTTP/1.1" 200 5644
216.244.66.248 - - [29/Jun/2018:05:18:31 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Jun/2018:05:18:33 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [29/Jun/2018:05:41:37 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Jun/2018:05:41:38 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.79.109 - - [29/Jun/2018:05:44:35 +0200] "GET /robots.txt HTTP/1.1" 301 316
77.75.79.109 - - [29/Jun/2018:05:44:36 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 335
199.58.86.211 - - [29/Jun/2018:05:52:33 +0200] "GET /robots.txt HTTP/1.1" 301 324
199.58.86.211 - - [29/Jun/2018:05:52:35 +0200] "GET /robots.txt HTTP/1.1" 200 120
199.58.86.211 - - [29/Jun/2018:05:52:37 +0200] "GET / HTTP/1.1" 301 314
199.58.86.211 - - [29/Jun/2018:05:52:39 +0200] "GET / HTTP/1.1" 200 37964
