34.252.150.193 - - [29/Jun/2018:17:01:30 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 5157
54.154.244.234 - - [29/Jun/2018:17:01:50 +0200] "GET /vermietung HTTP/1.1" 200 5099
54.154.244.234 - - [29/Jun/2018:17:02:24 +0200] "GET /kurse HTTP/1.1" 200 6277
35.204.154.227 - - [29/Jun/2018:17:02:50 +0200] "GET /var/m_0/0d/0dd/12455/6564696-G3_SKT2015_26.jpg HTTP/1.1" 301 360
35.204.154.227 - - [29/Jun/2018:17:02:52 +0200] "GET /var/m_0/0d/0dd/12455/6564696-G3_SKT2015_26.jpg HTTP/1.1" 200 113715
216.244.66.248 - - [29/Jun/2018:17:13:13 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Jun/2018:17:13:15 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.149.97 - - [29/Jun/2018:17:13:57 +0200] "GET /var/m_0/0d/0dd/12455/6564707-G3_SKT2015_36.jpg HTTP/1.1" 301 352
54.36.150.5 - - [29/Jun/2018:17:23:27 +0200] "GET /robots.txt HTTP/1.1" 200 80
54.36.149.73 - - [29/Jun/2018:17:23:28 +0200] "GET /events.shtml HTTP/1.1" 200 5293
216.244.66.248 - - [29/Jun/2018:17:36:16 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Jun/2018:17:36:17 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [29/Jun/2018:17:59:04 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Jun/2018:17:59:06 +0200] "GET /robots.txt HTTP/1.1" 200 120
