173.252.100.216 - - [03/Jul/2018:20:06:15 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
8.37.70.195 - - [03/Jul/2018:20:07:21 +0200] "GET /robots.txt HTTP/1.1" 301 316
8.37.70.195 - - [03/Jul/2018:20:07:22 +0200] "GET /smartkat-crashkurs HTTP/1.1" 301 324
8.37.70.195 - - [03/Jul/2018:20:07:22 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.195 - - [03/Jul/2018:20:07:23 +0200] "GET /smartkat-crashkurs HTTP/1.1" 200 4810
216.244.66.248 - - [03/Jul/2018:20:08:13 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [03/Jul/2018:20:08:15 +0200] "GET /robots.txt HTTP/1.1" 200 120
8.37.70.43 - - [03/Jul/2018:20:11:22 +0200] "GET /robots.txt HTTP/1.1" 301 316
8.37.70.43 - - [03/Jul/2018:20:11:22 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.43 - - [03/Jul/2018:20:11:23 +0200] "GET /standort HTTP/1.1" 301 314
8.37.70.43 - - [03/Jul/2018:20:11:23 +0200] "GET /standort HTTP/1.1" 200 4719
95.108.181.76 - - [03/Jul/2018:20:25:01 +0200] "GET /robots.txt HTTP/1.1" 200 120
95.108.181.76 - - [03/Jul/2018:20:25:05 +0200] "GET /templates/resellers/7/favicon.ico?v=1524995709 HTTP/1.1" 200 4286
54.36.149.89 - - [03/Jul/2018:20:30:21 +0200] "GET /pruefungskurs HTTP/1.1" 301 327
216.244.66.248 - - [03/Jul/2018:20:31:54 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [03/Jul/2018:20:31:56 +0200] "GET /robots.txt HTTP/1.1" 200 120
8.37.70.38 - - [03/Jul/2018:20:52:08 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.38 - - [03/Jul/2018:20:52:08 +0200] "GET /robots.txt HTTP/1.1" 301 316
8.37.70.38 - - [03/Jul/2018:20:52:09 +0200] "GET /kurse HTTP/1.1" 301 311
8.37.70.38 - - [03/Jul/2018:20:52:09 +0200] "GET /kurse HTTP/1.1" 200 6275
216.244.66.248 - - [03/Jul/2018:20:55:59 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [03/Jul/2018:20:56:01 +0200] "GET /robots.txt HTTP/1.1" 200 120
