54.36.148.11 - - [04/Jul/2018:10:06:59 +0200] "GET /var/m_0/0d/0dd/12455/143510-G2_Optikurs2014_05.jpg HTTP/1.1" 301 364
35.189.229.87 - - [04/Jul/2018:10:12:30 +0200] "GET /ads.txt HTTP/1.1" 301 313
35.189.229.87 - - [04/Jul/2018:10:12:30 +0200] "GET /ads.txt HTTP/1.1" 200 18102
35.189.229.87 - - [04/Jul/2018:10:12:31 +0200] "GET /ads.txt HTTP/1.1" 301 321
35.189.229.87 - - [04/Jul/2018:10:12:31 +0200] "GET /ads.txt HTTP/1.1" 200 18238
216.244.66.248 - - [04/Jul/2018:10:14:54 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [04/Jul/2018:10:14:56 +0200] "GET /robots.txt HTTP/1.1" 200 120
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET / HTTP/1.1" 301 314
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET / HTTP/1.1" 200 6576
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
193.247.16.24 - - [04/Jul/2018:10:29:12 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/call-icon.png HTTP/1.1" 200 3338
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_open.png HTTP/1.1" 200 2044
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_b_bottom.png HTTP/1.1" 200 962
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/mail_icon.png HTTP/1.1" 200 3128
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_l_bottom.png HTTP/1.1" 200 1751
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/google_maps_icon.png HTTP/1.1" 200 2900
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/resellers/7/favicon.ico?v=1530539722 HTTP/1.1" 200 4286
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 200 1803
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/8987714-66_Vorbereitung.jpg HTTP/1.1" 200 138994
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 200 1000
193.247.16.24 - - [04/Jul/2018:10:29:13 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 200 2150
193.247.16.24 - - [04/Jul/2018:10:30:22 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
193.247.16.24 - - [04/Jul/2018:10:30:22 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
193.247.16.24 - - [04/Jul/2018:10:30:22 +0200] "GET /templates/resellers/7/favicon.ico?v=1530664330 HTTP/1.1" 200 4286
193.247.16.24 - - [04/Jul/2018:10:30:22 +0200] "GET /var/m_0/0d/0dd/12455/7230969-37_Pedalo2.jpg HTTP/1.1" 200 107785
193.247.16.24 - - [04/Jul/2018:10:30:22 +0200] "GET /events.shtml HTTP/1.1" 200 5293
193.247.16.24 - - [04/Jul/2018:10:31:06 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 5641
193.247.16.24 - - [04/Jul/2018:10:31:07 +0200] "GET /js/fancybox2/jquery.fancybox.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 6238
