54.36.148.150 - - [04/Jul/2018:17:07:17 +0200] "GET /var/m_0/0d/0dd/12455/143507-G2_Optikurs2014_02.JPG HTTP/1.1" 301 356
35.204.59.194 - - [04/Jul/2018:17:09:37 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 301 358
35.204.59.194 - - [04/Jul/2018:17:09:38 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 200 2150
216.244.66.248 - - [04/Jul/2018:17:18:53 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [04/Jul/2018:17:18:54 +0200] "GET /robots.txt HTTP/1.1" 200 120
188.61.27.230 - - [04/Jul/2018:17:31:57 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5101
188.61.27.230 - - [04/Jul/2018:17:31:57 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 18238
188.61.27.230 - - [04/Jul/2018:17:31:59 +0200] "GET /apple-touch-icon.png HTTP/1.1" 200 18238
188.61.27.230 - - [04/Jul/2018:17:32:01 +0200] "GET /templates/resellers/7/favicon.ico?v=1530546605 HTTP/1.1" 200 4286
188.61.27.230 - - [04/Jul/2018:17:32:01 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5075
188.61.27.230 - - [04/Jul/2018:17:32:01 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 18238
188.61.27.230 - - [04/Jul/2018:17:32:02 +0200] "GET /apple-touch-icon.png HTTP/1.1" 200 18238
188.61.27.230 - - [04/Jul/2018:17:32:03 +0200] "GET /templates/resellers/7/favicon.ico?v=1530546609 HTTP/1.1" 200 4286
54.36.148.131 - - [04/Jul/2018:17:40:10 +0200] "GET / HTTP/1.1" 301 314
216.244.66.248 - - [04/Jul/2018:17:42:10 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [04/Jul/2018:17:42:12 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.222 - - [04/Jul/2018:17:42:18 +0200] "GET / HTTP/1.1" 301 314
35.204.124.148 - - [04/Jul/2018:17:42:32 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 301 366
35.204.124.148 - - [04/Jul/2018:17:42:33 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/bt_close.png HTTP/1.1" 200 2150
40.77.167.121 - - [04/Jul/2018:17:48:36 +0200] "GET /flotte.shtml HTTP/1.1" 301 326
