54.36.148.235 - - [23/Jul/2018:10:01:20 +0200] "GET /var/m_0/0d/0dd/12455/6564702-G3_SKT2015_31.jpg HTTP/1.1" 301 352
138.201.30.66 - - [23/Jul/2018:10:03:17 +0200] "GET /robots.txt HTTP/1.1" 301 324
138.201.30.66 - - [23/Jul/2018:10:03:18 +0200] "GET / HTTP/1.1" 301 314
216.244.66.248 - - [23/Jul/2018:10:06:09 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [23/Jul/2018:10:06:10 +0200] "GET /robots.txt HTTP/1.1" 200 120
35.189.229.87 - - [23/Jul/2018:10:09:48 +0200] "GET /ads.txt HTTP/1.1" 301 313
35.189.229.87 - - [23/Jul/2018:10:09:48 +0200] "GET /ads.txt HTTP/1.1" 200 18102
35.189.229.87 - - [23/Jul/2018:10:09:49 +0200] "GET /ads.txt HTTP/1.1" 301 321
35.189.229.87 - - [23/Jul/2018:10:09:49 +0200] "GET /ads.txt HTTP/1.1" 200 18238
54.36.149.84 - - [23/Jul/2018:10:27:58 +0200] "GET /kinder-segelkurs HTTP/1.1" 301 322
216.244.66.248 - - [23/Jul/2018:10:30:18 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [23/Jul/2018:10:30:20 +0200] "GET /robots.txt HTTP/1.1" 200 120
83.78.161.181 - - [23/Jul/2018:10:32:43 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
92.104.28.39 - - [23/Jul/2018:10:46:24 +0200] "GET / HTTP/1.1" 200 6761
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/8218253-65_Sommer.JPG HTTP/1.1" 200 244897
92.104.28.39 - - [23/Jul/2018:10:46:25 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
216.244.66.248 - - [23/Jul/2018:10:55:22 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [23/Jul/2018:10:55:24 +0200] "GET /robots.txt HTTP/1.1" 200 120
