66.249.66.157 - - [25/Jul/2018:05:03:10 +0200] "GET /.well-known/assetlinks.json HTTP/1.1" 200 18102
216.244.66.248 - - [25/Jul/2018:05:12:02 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [25/Jul/2018:05:12:04 +0200] "GET /robots.txt HTTP/1.1" 200 120
45.124.67.172 - - [25/Jul/2018:05:22:14 +0200] "GET /favicon.ico HTTP/1.1" 301 317
45.124.67.172 - - [25/Jul/2018:05:22:15 +0200] "GET /favicon.ico HTTP/1.1" 200 1150
40.77.167.104 - - [25/Jul/2018:05:31:03 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 301 353
40.77.167.104 - - [25/Jul/2018:05:31:05 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
216.244.66.248 - - [25/Jul/2018:05:31:51 +0200] "GET /gallery/login.php?referer=displayimage.php%3Falbum%3Dlastupby%26cat%3D0%26uid%3D1%26pid%3D97%26slideshow%3D5000 HTTP/1.1" 200 215
216.244.66.248 - - [25/Jul/2018:05:31:59 +0200] "GET /gallery/login.php?referer=login.php%3Freferer%3Dthumbnails.php%253Falbum%253Dtopn%2526cat%253D0%2526page%253D8 HTTP/1.1" 200 215
216.244.66.248 - - [25/Jul/2018:05:35:32 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [25/Jul/2018:05:35:33 +0200] "GET /robots.txt HTTP/1.1" 200 120
188.243.40.83 - - [25/Jul/2018:05:36:58 +0200] "GET / HTTP/1.0" 200 38055
188.243.40.83 - - [25/Jul/2018:05:36:58 +0200] "GET / HTTP/1.0" 301 306
46.118.159.228 - - [25/Jul/2018:05:55:47 +0200] "GET /segel-grundkurs/ HTTP/1.1" 301 322
46.118.159.228 - - [25/Jul/2018:05:55:48 +0200] "GET /segel-grundkurs/ HTTP/1.1" 301 322
216.244.66.248 - - [25/Jul/2018:05:58:29 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [25/Jul/2018:05:58:31 +0200] "GET /robots.txt HTTP/1.1" 200 120
