180.76.15.156 - - [25/Jul/2018:11:00:00 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 18565
66.249.66.147 - - [25/Jul/2018:11:05:12 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
46.229.168.80 - - [25/Jul/2018:11:06:50 +0200] "GET /robots.txt HTTP/1.1" 301 324
46.229.168.78 - - [25/Jul/2018:11:06:52 +0200] "GET /robots.txt HTTP/1.1" 200 80
46.229.168.78 - - [25/Jul/2018:11:07:05 +0200] "GET /events.shtml HTTP/1.1" 301 326
46.229.168.83 - - [25/Jul/2018:11:07:15 +0200] "GET /events.shtml HTTP/1.1" 200 5293
216.244.66.248 - - [25/Jul/2018:11:20:09 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [25/Jul/2018:11:20:10 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.119.124.149 - - [25/Jul/2018:11:23:06 +0200] "GET /segel-grundkurs/ HTTP/1.1" 301 322
66.249.66.147 - - [25/Jul/2018:11:30:52 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
85.1.11.18 - - [25/Jul/2018:11:34:14 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
85.1.11.18 - - [25/Jul/2018:11:34:14 +0200] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
85.1.11.18 - - [25/Jul/2018:11:34:14 +0200] "GET /flotte HTTP/1.1" 200 6279
85.1.11.18 - - [25/Jul/2018:11:34:14 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
85.1.11.18 - - [25/Jul/2018:11:34:14 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
85.1.11.18 - - [25/Jul/2018:11:34:14 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
