35.204.130.193 - - [01/Aug/2018:19:08:58 +0200] "GET /gfx/worldclock/Morning.png HTTP/1.1" 200 102224
216.244.66.248 - - [01/Aug/2018:19:20:49 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [01/Aug/2018:19:20:50 +0200] "GET /robots.txt HTTP/1.1" 200 120
95.108.181.76 - - [01/Aug/2018:19:28:28 +0200] "GET /robots.txt HTTP/1.1" 301 324
37.9.113.206 - - [01/Aug/2018:19:28:32 +0200] "GET /favicon.ico HTTP/1.1" 301 325
95.108.181.76 - - [01/Aug/2018:19:28:32 +0200] "GET /robots.txt HTTP/1.1" 200 120
95.108.181.76 - - [01/Aug/2018:19:28:36 +0200] "GET /favicon.ico HTTP/1.1" 200 1150
216.244.66.248 - - [01/Aug/2018:19:43:37 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [01/Aug/2018:19:43:38 +0200] "GET /robots.txt HTTP/1.1" 200 120
95.108.181.76 - - [01/Aug/2018:19:45:05 +0200] "GET /templates/resellers/7/favicon.ico?v=1524995709 HTTP/1.1" 200 4286
178.154.200.46 - - [01/Aug/2018:19:45:05 +0200] "GET /templates/resellers/7/favicon.ico?v=1524995709 HTTP/1.1" 301 360
