35.204.79.218 - - [02/Aug/2018:03:06:32 +0200] "GET /gfx/imageslider/controls.png HTTP/1.1" 200 2806
216.244.66.248 - - [02/Aug/2018:03:12:02 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [02/Aug/2018:03:12:04 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.150.5 - - [02/Aug/2018:03:21:38 +0200] "GET /robots.txt HTTP/1.1" 301 324
54.36.150.5 - - [02/Aug/2018:03:21:50 +0200] "GET /robots.txt HTTP/1.1" 200 80
5.248.253.117 - - [02/Aug/2018:03:22:48 +0200] "GET /segel-grundkurs/ HTTP/1.1" 301 322
5.248.253.117 - - [02/Aug/2018:03:22:47 +0200] "GET /segel-grundkurs/ HTTP/1.1" 301 322
5.248.253.117 - - [02/Aug/2018:03:22:50 +0200] "GET /segel-grundkurs/ HTTP/1.1" 301 322
46.229.168.77 - - [02/Aug/2018:03:28:10 +0200] "GET /robots.txt HTTP/1.1" 301 324
46.229.168.77 - - [02/Aug/2018:03:28:31 +0200] "GET /robots.txt HTTP/1.1" 301 324
54.36.148.191 - - [02/Aug/2018:03:33:40 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 301 336
216.244.66.248 - - [02/Aug/2018:03:33:59 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [02/Aug/2018:03:34:00 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.74 - - [02/Aug/2018:03:46:34 +0200] "GET /event-matchracing.shtml HTTP/1.1" 301 337
66.249.64.29 - - [02/Aug/2018:03:49:13 +0200] "GET /robots.txt HTTP/1.1" 301 316
66.249.64.29 - - [02/Aug/2018:03:49:13 +0200] "GET /smartkat-crashkurs HTTP/1.1" 301 324
66.249.64.28 - - [02/Aug/2018:03:49:14 +0200] "GET /smartkat-crashkurs HTTP/1.1" 200 30630
66.249.64.28 - - [02/Aug/2018:03:49:14 +0200] "GET /robots.txt HTTP/1.1" 200 80
66.249.64.29 - - [02/Aug/2018:03:49:16 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43352 HTTP/1.1" 200 48314
66.249.64.29 - - [02/Aug/2018:03:54:55 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
66.249.64.30 - - [02/Aug/2018:03:54:55 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23830
66.249.64.29 - - [02/Aug/2018:03:54:55 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
216.244.66.248 - - [02/Aug/2018:03:56:00 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [02/Aug/2018:03:56:01 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.67 - - [02/Aug/2018:03:57:28 +0200] "GET /event-matchracing.shtml HTTP/1.1" 200 31374
