66.249.66.154 - - [04/Aug/2018:06:00:03 +0200] "GET /flotte.shtml HTTP/1.1" 200 32072
216.244.66.248 - - [04/Aug/2018:06:11:07 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [04/Aug/2018:06:11:09 +0200] "GET /robots.txt HTTP/1.1" 200 120
35.204.159.86 - - [04/Aug/2018:06:17:12 +0200] "GET /gfx/files/video.png HTTP/1.1" 200 4534
46.118.125.157 - - [04/Aug/2018:06:18:03 +0200] "GET /flotte/ HTTP/1.1" 301 313
46.118.125.157 - - [04/Aug/2018:06:18:03 +0200] "GET /flotte/ HTTP/1.1" 301 313
46.118.125.157 - - [04/Aug/2018:06:18:04 +0200] "GET /flotte/ HTTP/1.1" 301 313
54.36.148.43 - - [04/Aug/2018:06:20:18 +0200] "GET /standort.shtml HTTP/1.1" 200 31149
46.229.168.85 - - [04/Aug/2018:06:21:26 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 30543
198.245.49.215 - - [04/Aug/2018:06:25:46 +0200] "GET /robots.txt HTTP/1.1" 301 324
198.245.49.215 - - [04/Aug/2018:06:26:30 +0200] "GET /robots.txt HTTP/1.0" 301 324
198.245.49.215 - - [04/Aug/2018:06:26:59 +0200] "GET /robots.txt HTTP/1.0" 200 120
198.245.49.215 - - [04/Aug/2018:06:27:02 +0200] "GET /kursanmeldung.shtml HTTP/1.0" 301 333
198.245.49.215 - - [04/Aug/2018:06:27:04 +0200] "GET /kursanmeldung.shtml HTTP/1.0" 200 190636
54.36.148.124 - - [04/Aug/2018:06:30:24 +0200] "GET /var/m_0/0d/0dd/12455/6564694-G3_SKT2015_24.jpg HTTP/1.1" 301 352
216.244.66.248 - - [04/Aug/2018:06:33:25 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [04/Aug/2018:06:33:26 +0200] "GET /robots.txt HTTP/1.1" 200 120
108.59.8.70 - - [04/Aug/2018:06:49:23 +0200] "GET /robots.txt HTTP/1.1" 301 324
108.59.8.70 - - [04/Aug/2018:06:49:24 +0200] "GET /robots.txt HTTP/1.1" 200 120
108.59.8.70 - - [04/Aug/2018:06:49:26 +0200] "GET / HTTP/1.1" 301 314
108.59.8.70 - - [04/Aug/2018:06:49:27 +0200] "GET / HTTP/1.1" 200 183730
216.244.66.248 - - [04/Aug/2018:06:55:48 +0200] "GET /robots.txt HTTP/1.1" 301 324
