40.77.167.181 - - [05/Aug/2018:11:02:36 +0200] "GET /segel-grundkurs HTTP/1.1" 200 31201
188.61.48.133 - - [05/Aug/2018:11:06:30 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
188.61.48.133 - - [05/Aug/2018:11:06:30 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
188.61.48.133 - - [05/Aug/2018:11:06:30 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
188.61.48.133 - - [05/Aug/2018:11:17:48 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
144.76.118.82 - - [05/Aug/2018:11:19:34 +0200] "GET /robots.txt HTTP/1.1" 301 316
144.76.118.82 - - [05/Aug/2018:11:19:34 +0200] "GET /robots.txt HTTP/1.1" 200 120
144.76.118.82 - - [05/Aug/2018:11:19:35 +0200] "GET /smartkat-crashkurs HTTP/1.1" 301 324
144.76.118.82 - - [05/Aug/2018:11:19:37 +0200] "GET /smartkat-crashkurs HTTP/1.1" 200 162004
216.244.66.248 - - [05/Aug/2018:11:21:13 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [05/Aug/2018:11:21:15 +0200] "GET /robots.txt HTTP/1.1" 200 120
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w640.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43334 HTTP/1.1" 200 48314
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET / HTTP/1.1" 200 32716
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /var/m_0/0d/0dd/12455/7445964-SK_Kentern.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /var/m_0/0d/0dd/12455/8218253-65_Sommer.JPG HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
83.78.20.110 - - [05/Aug/2018:11:26:16 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_b_bottom.png HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_r_bottom.png HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/tab_l_bottom.png HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 304 -
83.78.20.110 - - [05/Aug/2018:11:26:17 +0200] "GET /templates/creator/m_f/fa/fa7/164//assets/bt_open.png HTTP/1.1" 304 -
