207.241.232.46 - - [07/Aug/2018:02:02:37 +0200] "GET /fonts/FontName.svg HTTP/1.0" 200 162288
216.244.66.248 - - [07/Aug/2018:02:12:01 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [07/Aug/2018:02:12:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.241.232.44 - - [07/Aug/2018:02:13:44 +0200] "GET /fonts/FontName.eot HTTP/1.0" 200 162288
18.197.134.133 - - [07/Aug/2018:02:14:27 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 301 336
18.197.134.133 - - [07/Aug/2018:02:14:28 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 30400
69.12.66.252 - - [07/Aug/2018:02:22:10 +0200] "GET /manager/index.php HTTP/1.1" 301 323
69.12.66.252 - - [07/Aug/2018:02:22:11 +0200] "GET /manager/index.php HTTP/1.1" 200 -
69.12.66.252 - - [07/Aug/2018:02:22:12 +0200] "GET / HTTP/1.1" 301 306
69.12.66.252 - - [07/Aug/2018:02:22:13 +0200] "GET / HTTP/1.1" 200 32579
69.12.66.252 - - [07/Aug/2018:02:22:34 +0200] "GET /manager/index.php HTTP/1.1" 301 331
69.12.66.252 - - [07/Aug/2018:02:22:35 +0200] "GET /manager/index.php HTTP/1.1" 200 -
69.12.66.252 - - [07/Aug/2018:02:22:36 +0200] "GET / HTTP/1.1" 301 314
69.12.66.252 - - [07/Aug/2018:02:22:37 +0200] "GET / HTTP/1.1" 200 32575
207.241.232.49 - - [07/Aug/2018:02:24:16 +0200] "GET /fonts/FontName.ttf HTTP/1.0" 200 162288
207.241.231.118 - - [07/Aug/2018:02:28:06 +0200] "GET /fonts/FontName.woff HTTP/1.0" 200 162288
216.244.66.248 - - [07/Aug/2018:02:35:10 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [07/Aug/2018:02:35:12 +0200] "GET /robots.txt HTTP/1.1" 200 120
178.137.95.1 - - [07/Aug/2018:02:50:54 +0200] "GET /flotte/ HTTP/1.1" 301 313
178.137.95.1 - - [07/Aug/2018:02:50:58 +0200] "GET /flotte/ HTTP/1.1" 301 313
216.244.66.248 - - [07/Aug/2018:02:58:02 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [07/Aug/2018:02:58:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
