54.36.148.58 - - [12/Aug/2018:06:05:07 +0200] "GET /davosersee HTTP/1.1" 301 324
46.119.115.219 - - [12/Aug/2018:06:08:37 +0200] "GET /flotte/ HTTP/1.1" 301 313
216.244.66.248 - - [12/Aug/2018:06:10:24 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [12/Aug/2018:06:10:26 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.119.121.78 - - [12/Aug/2018:06:11:12 +0200] "GET /flotte/ HTTP/1.1" 301 313
46.119.121.78 - - [12/Aug/2018:06:11:13 +0200] "GET /flotte/ HTTP/1.1" 301 313
46.119.121.78 - - [12/Aug/2018:06:11:13 +0200] "GET /flotte/ HTTP/1.1" 301 313
46.229.168.66 - - [12/Aug/2018:06:16:31 +0200] "GET /event-matchracing.shtml HTTP/1.1" 200 31373
207.46.13.180 - - [12/Aug/2018:06:32:27 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 30983
216.244.66.248 - - [12/Aug/2018:06:32:28 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [12/Aug/2018:06:32:30 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.180 - - [12/Aug/2018:06:32:43 +0200] "GET / HTTP/1.1" 200 32575
216.244.66.248 - - [12/Aug/2018:06:55:47 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [12/Aug/2018:06:55:48 +0200] "GET /robots.txt HTTP/1.1" 200 120
