18.194.38.94 - - [13/Aug/2018:15:00:17 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 30963
77.74.100.9 - - [13/Aug/2018:15:05:47 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 30918
77.66.11.145 - - [13/Aug/2018:15:06:53 +0200] "GET / HTTP/1.1" 200 182187
77.66.11.145 - - [13/Aug/2018:15:06:53 +0200] "GET /robots.txt HTTP/1.1" 200 120
18.185.100.218 - - [13/Aug/2018:15:09:48 +0200] "GET /standort.shtml HTTP/1.1" 200 31148
216.244.66.248 - - [13/Aug/2018:15:19:57 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [13/Aug/2018:15:19:59 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [13/Aug/2018:15:42:33 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [13/Aug/2018:15:42:34 +0200] "GET /robots.txt HTTP/1.1" 200 120
178.38.108.49 - - [13/Aug/2018:15:50:31 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
178.38.108.49 - - [13/Aug/2018:15:50:31 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
178.38.108.49 - - [13/Aug/2018:15:50:31 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
178.38.108.49 - - [13/Aug/2018:15:50:31 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
178.38.108.49 - - [13/Aug/2018:15:50:31 +0200] "GET / HTTP/1.1" 200 32575
178.38.108.49 - - [13/Aug/2018:15:50:31 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
178.38.108.49 - - [13/Aug/2018:15:50:31 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43352 HTTP/1.1" 200 48314
178.38.108.49 - - [13/Aug/2018:15:50:32 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
