40.77.167.66 - - [14/Aug/2018:09:02:49 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 31391
40.77.167.82 - - [14/Aug/2018:09:04:09 +0200] "GET /davosersee.shtml HTTP/1.1" 200 31307
207.46.13.180 - - [14/Aug/2018:09:04:28 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 30983
54.36.148.205 - - [14/Aug/2018:09:11:54 +0200] "GET /%C3%BCber-uns HTTP/1.1" 301 327
216.244.66.248 - - [14/Aug/2018:09:18:24 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [14/Aug/2018:09:18:25 +0200] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.14 - - [14/Aug/2018:09:36:42 +0200] "GET /robots.txt HTTP/1.1" 200 80
157.55.39.14 - - [14/Aug/2018:09:36:43 +0200] "GET /robots.txt HTTP/1.1" 200 80
207.46.13.180 - - [14/Aug/2018:09:36:47 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 301 354
207.46.13.180 - - [14/Aug/2018:09:36:48 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
37.9.53.12 - - [14/Aug/2018:09:36:48 +0200] "GET / HTTP/1.1" 301 306
37.9.53.12 - - [14/Aug/2018:09:36:49 +0200] "GET / HTTP/1.1" 200 32575
8.37.70.143 - - [14/Aug/2018:09:37:53 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.143 - - [14/Aug/2018:09:37:53 +0200] "GET /robots.txt HTTP/1.1" 301 316
8.37.70.143 - - [14/Aug/2018:09:37:53 +0200] "GET / HTTP/1.1" 301 306
8.37.70.143 - - [14/Aug/2018:09:37:54 +0200] "GET / HTTP/1.1" 200 32579
216.244.66.248 - - [14/Aug/2018:09:40:45 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [14/Aug/2018:09:40:46 +0200] "GET /robots.txt HTTP/1.1" 200 120
109.164.176.207 - - [14/Aug/2018:09:43:36 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
