46.229.168.75 - - [17/Aug/2018:07:15:16 +0200] "GET /events HTTP/1.1" 200 31094
157.55.39.106 - - [17/Aug/2018:07:16:19 +0200] "GET /flotte HTTP/1.1" 301 312
216.244.66.248 - - [17/Aug/2018:07:17:16 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [17/Aug/2018:07:17:17 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [17/Aug/2018:07:39:59 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [17/Aug/2018:07:40:06 +0200] "GET /robots.txt HTTP/1.1" 200 120
162.210.196.98 - - [17/Aug/2018:07:42:11 +0200] "GET /robots.txt HTTP/1.1" 301 324
162.210.196.98 - - [17/Aug/2018:07:42:12 +0200] "GET /robots.txt HTTP/1.1" 200 120
162.210.196.98 - - [17/Aug/2018:07:42:16 +0200] "GET / HTTP/1.1" 301 314
162.210.196.98 - - [17/Aug/2018:07:42:18 +0200] "GET / HTTP/1.1" 200 32575
77.75.78.170 - - [17/Aug/2018:07:49:48 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.78.170 - - [17/Aug/2018:07:49:49 +0200] "GET /kurse.shtml HTTP/1.1" 200 32082
77.75.78.170 - - [17/Aug/2018:07:49:50 +0200] "GET /davosersee HTTP/1.1" 200 31308
178.137.16.156 - - [17/Aug/2018:07:54:42 +0200] "GET /segel-grundkurs/ HTTP/1.1" 301 322
46.229.168.73 - - [17/Aug/2018:07:55:21 +0200] "GET /robots.txt HTTP/1.1" 301 316
46.229.168.73 - - [17/Aug/2018:07:55:37 +0200] "GET /robots.txt HTTP/1.1" 200 80
