157.55.39.151 - - [21/Aug/2018:14:00:35 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
216.244.66.248 - - [21/Aug/2018:14:08:18 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [21/Aug/2018:14:08:20 +0200] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.176 - - [21/Aug/2018:14:45:04 +0200] "GET /galerie-sktrophy-2014 HTTP/1.1" 301 327
8.14.146.83 - - [21/Aug/2018:14:46:24 +0200] "GET /wp-content/plugins/wp-vertical-gallery/readme.txt HTTP/1.1" 301 363
8.14.146.83 - - [21/Aug/2018:14:46:25 +0200] "GET /wp-content/plugins/wp-vertical-gallery/readme.txt HTTP/1.1" 200 163257
46.4.122.146 - - [21/Aug/2018:14:49:17 +0200] "GET /vermietung.shtml HTTP/1.1" 200 31012
46.4.122.146 - - [21/Aug/2018:14:49:17 +0200] "GET /robots.txt HTTP/1.1" 200 80
46.4.122.146 - - [21/Aug/2018:14:49:17 +0200] "GET /robots.txt HTTP/1.1" 301 316
46.4.122.146 - - [21/Aug/2018:14:49:17 +0200] "GET /vermietung.shtml HTTP/1.1" 301 330
157.55.39.118 - - [21/Aug/2018:14:50:19 +0200] "GET /robots.txt HTTP/1.1" 200 80
157.55.39.118 - - [21/Aug/2018:14:50:20 +0200] "GET /robots.txt HTTP/1.1" 200 80
216.244.66.248 - - [21/Aug/2018:14:51:21 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [21/Aug/2018:14:51:23 +0200] "GET /robots.txt HTTP/1.1" 200 120
