142.93.169.203 - - [26/Aug/2018:16:08:16 +0200] "GET /.git/HEAD HTTP/1.1" 301 315
62.12.175.132 - - [26/Aug/2018:16:16:11 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 30490
62.12.175.132 - - [26/Aug/2018:16:16:12 +0200] "GET /templates/resellers/7/favicon.ico?v=1534751155 HTTP/1.1" 200 4286
216.244.66.248 - - [26/Aug/2018:16:29:40 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [26/Aug/2018:16:29:40 +0200] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [26/Aug/2018:16:29:42 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [26/Aug/2018:16:29:42 +0200] "GET /robots.txt HTTP/1.1" 200 120
62.12.175.132 - - [26/Aug/2018:16:35:33 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
62.12.175.132 - - [26/Aug/2018:16:35:33 +0200] "GET /standort.shtml HTTP/1.1" 301 320
62.12.175.132 - - [26/Aug/2018:16:35:33 +0200] "GET /standort.shtml HTTP/1.1" 200 31251
62.12.175.132 - - [26/Aug/2018:16:35:34 +0200] "GET /templates/resellers/7/favicon.ico?v=1534774284 HTTP/1.1" 200 4286
216.244.66.248 - - [26/Aug/2018:16:44:26 +0200] "GET /var/m_0/0d/0dd/12455/143480-G1_SKT2014_04.JPG HTTP/1.1" 200 132118
216.244.66.248 - - [26/Aug/2018:16:44:36 +0200] "GET /var/m_0/0d/0dd/12455/143511-G2_Optikurs2014_06.JPG HTTP/1.1" 200 108393
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET / HTTP/1.1" 301 314
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET / HTTP/1.1" 200 32381
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 200 48314
31.10.150.144 - - [26/Aug/2018:16:46:25 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
31.10.150.144 - - [26/Aug/2018:16:46:26 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
77.75.78.161 - - [26/Aug/2018:16:47:57 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.78.161 - - [26/Aug/2018:16:47:57 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 30635
77.75.78.161 - - [26/Aug/2018:16:47:58 +0200] "GET /robots.txt HTTP/1.1" 301 324
77.75.78.161 - - [26/Aug/2018:16:47:58 +0200] "GET /events HTTP/1.1" 301 320
