157.55.39.166 - - [29/Aug/2018:11:02:14 +0200] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 31769
35.204.71.220 - - [29/Aug/2018:11:05:18 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 301 348
35.204.71.220 - - [29/Aug/2018:11:05:18 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
216.244.66.248 - - [29/Aug/2018:11:09:01 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Aug/2018:11:09:01 +0200] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [29/Aug/2018:11:09:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [29/Aug/2018:11:09:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.74 - - [29/Aug/2018:11:17:03 +0200] "GET /kurse.shtml HTTP/1.1" 301 317
40.77.167.75 - - [29/Aug/2018:11:18:11 +0200] "GET /galerie HTTP/1.1" 301 321
216.244.66.248 - - [29/Aug/2018:11:25:18 +0200] "GET /var/m_0/0d/0dd/12455/7230936-G4_Event_SK_04.jpg HTTP/1.1" 200 87335
162.210.196.100 - - [29/Aug/2018:11:27:50 +0200] "GET /robots.txt HTTP/1.1" 301 324
162.210.196.100 - - [29/Aug/2018:11:27:51 +0200] "GET /robots.txt HTTP/1.1" 200 120
162.210.196.100 - - [29/Aug/2018:11:27:52 +0200] "GET / HTTP/1.1" 301 314
162.210.196.100 - - [29/Aug/2018:11:27:54 +0200] "GET / HTTP/1.1" 200 180139
216.244.66.248 - - [29/Aug/2018:11:30:03 +0200] "GET /var/m_0/0d/0dd/12455/143486-G1_SKT2014_10.JPG HTTP/1.1" 200 129005
46.229.168.85 - - [29/Aug/2018:11:37:49 +0200] "GET /smartkat-crashkurs HTTP/1.1" 301 324
8.37.70.92 - - [29/Aug/2018:11:38:42 +0200] "GET /robots.txt HTTP/1.1" 301 316
8.37.70.92 - - [29/Aug/2018:11:38:43 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.92 - - [29/Aug/2018:11:38:43 +0200] "GET /segel-grundkurs HTTP/1.1" 301 321
8.37.70.92 - - [29/Aug/2018:11:38:43 +0200] "GET /segel-grundkurs HTTP/1.1" 200 31293
40.77.167.75 - - [29/Aug/2018:11:42:40 +0200] "GET /events HTTP/1.1" 301 320
8.37.70.90 - - [29/Aug/2018:11:43:27 +0200] "GET /kinder-segelkurs HTTP/1.1" 200 31075
8.37.70.90 - - [29/Aug/2018:11:43:27 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.90 - - [29/Aug/2018:11:43:27 +0200] "GET /kinder-segelkurs HTTP/1.1" 301 330
8.37.70.90 - - [29/Aug/2018:11:43:27 +0200] "GET /robots.txt HTTP/1.1" 301 324
46.229.168.73 - - [29/Aug/2018:11:52:29 +0200] "GET /kurse.shtml HTTP/1.1" 200 32172
216.244.66.248 - - [29/Aug/2018:11:54:37 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Aug/2018:11:54:40 +0200] "GET /robots.txt HTTP/1.1" 200 120
