172.16.52.221 - - [31/Aug/2018:13:02:24 +0200] "HEAD / HTTP/1.1" 301 -
8.37.70.242 - - [31/Aug/2018:13:12:42 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.242 - - [31/Aug/2018:13:12:42 +0200] "GET /robots.txt HTTP/1.1" 301 324
8.37.70.242 - - [31/Aug/2018:13:12:43 +0200] "GET /events HTTP/1.1" 301 320
8.37.70.242 - - [31/Aug/2018:13:12:43 +0200] "GET /events HTTP/1.1" 200 31188
216.244.66.248 - - [31/Aug/2018:13:17:16 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [31/Aug/2018:13:17:18 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [31/Aug/2018:13:30:22 +0200] "GET /var/m_0/0d/0dd/12455/143520-G2_Optikurs2014_15.JPG HTTP/1.1" 200 71469
8.37.70.242 - - [31/Aug/2018:13:31:49 +0200] "GET /robots.txt HTTP/1.1" 301 324
8.37.70.242 - - [31/Aug/2018:13:31:50 +0200] "GET /segelkurs-jollesmartkat HTTP/1.1" 301 337
8.37.70.242 - - [31/Aug/2018:13:31:50 +0200] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 31066
8.37.70.242 - - [31/Aug/2018:13:31:50 +0200] "GET /robots.txt HTTP/1.1" 200 80
66.249.70.7 - - [31/Aug/2018:13:50:00 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
151.80.39.111 - - [31/Aug/2018:13:50:50 +0200] "GET /events.shtml HTTP/1.1" 301 326
