40.77.167.4 - - [07/Sep/2018:07:00:04 +0200] "GET /smartkat-trophy-2015-copy HTTP/1.1" 200 30699
157.55.39.170 - - [07/Sep/2018:07:01:38 +0200] "GET /events.shtml HTTP/1.1" 200 31188
207.46.13.155 - - [07/Sep/2018:07:02:22 +0200] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 301 355
207.46.13.155 - - [07/Sep/2018:07:02:25 +0200] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
207.46.13.166 - - [07/Sep/2018:07:02:54 +0200] "GET /smartkat-trophy-2018-copy.shtml HTTP/1.1" 200 30935
40.77.167.5 - - [07/Sep/2018:07:03:03 +0200] "GET /smartkat-trophy-2018-copy HTTP/1.1" 301 339
40.77.167.18 - - [07/Sep/2018:07:04:06 +0200] "GET /smartkat-trophy-2018-copy HTTP/1.1" 200 30935
216.244.66.248 - - [07/Sep/2018:07:29:15 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [07/Sep/2018:07:29:17 +0200] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.110 - - [07/Sep/2018:07:37:47 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 301 349
40.77.167.110 - - [07/Sep/2018:07:37:49 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
17.58.99.196 - - [07/Sep/2018:07:46:21 +0200] "GET /robots.txt HTTP/1.1" 301 324
17.58.99.196 - - [07/Sep/2018:07:46:22 +0200] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [07/Sep/2018:07:46:22 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 301 334
17.58.99.196 - - [07/Sep/2018:07:46:22 +0200] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [07/Sep/2018:07:46:23 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 200 30755
35.204.85.149 - - [07/Sep/2018:07:55:12 +0200] "GET /var/m_0/0d/0dd/12455/143519-G2_Optikurs2014_14.JPG HTTP/1.1" 301 356
35.204.85.149 - - [07/Sep/2018:07:55:12 +0200] "GET /var/m_0/0d/0dd/12455/143519-G2_Optikurs2014_14.JPG HTTP/1.1" 200 71703
216.244.66.248 - - [07/Sep/2018:07:56:11 +0200] "GET /gallery/login.php?referer=thumbnails.php%3Falbum%3Dlastup HTTP/1.1" 200 215
