157.55.39.170 - - [18/Sep/2018:23:00:09 +0200] "GET /index.php?option=com_content&task=view&id=32&Itemid=82 HTTP/1.1" 301 380
40.77.167.205 - - [18/Sep/2018:23:00:18 +0200] "GET /index.php?option=com_content&task=view&id=57&Itemid=133 HTTP/1.1" 301 381
216.244.66.248 - - [18/Sep/2018:23:11:12 +0200] "GET /robots.txt HTTP/1.1" 301 324
40.77.167.205 - - [18/Sep/2018:23:11:13 +0200] "GET /galerie HTTP/1.1" 200 30734
216.244.66.248 - - [18/Sep/2018:23:11:14 +0200] "GET /robots.txt HTTP/1.1" 200 120
8.37.70.143 - - [18/Sep/2018:23:22:04 +0200] "GET /robots.txt HTTP/1.1" 301 316
8.37.70.143 - - [18/Sep/2018:23:22:05 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.143 - - [18/Sep/2018:23:22:05 +0200] "GET / HTTP/1.1" 301 306
8.37.70.143 - - [18/Sep/2018:23:22:06 +0200] "GET / HTTP/1.1" 200 32319
40.77.167.205 - - [18/Sep/2018:23:23:48 +0200] "GET /vermietung.shtml HTTP/1.1" 301 322
8.37.70.123 - - [18/Sep/2018:23:25:14 +0200] "GET /robots.txt HTTP/1.1" 301 324
8.37.70.123 - - [18/Sep/2018:23:25:15 +0200] "GET /robots.txt HTTP/1.1" 200 80
8.37.70.123 - - [18/Sep/2018:23:25:15 +0200] "GET /pruefungskurs HTTP/1.1" 301 327
8.37.70.123 - - [18/Sep/2018:23:25:16 +0200] "GET /pruefungskurs HTTP/1.1" 200 31846
176.8.91.217 - - [18/Sep/2018:23:28:37 +0200] "GET / HTTP/1.1" 301 306
216.244.66.248 - - [18/Sep/2018:23:55:18 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [18/Sep/2018:23:55:19 +0200] "GET /robots.txt HTTP/1.1" 200 120
176.8.89.62 - - [18/Sep/2018:23:57:29 +0200] "GET / HTTP/1.1" 301 306
