62.167.95.171 - - [21/Sep/2018:15:15:01 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
178.137.166.158 - - [21/Sep/2018:15:22:34 +0200] "GET / HTTP/1.1" 301 306
216.244.66.248 - - [21/Sep/2018:15:40:37 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [21/Sep/2018:15:40:39 +0200] "GET /robots.txt HTTP/1.1" 200 120
103.89.91.157 - - [21/Sep/2018:15:41:48 +0200] "GET / HTTP/1.1" 301 314
103.89.91.157 - - [21/Sep/2018:15:41:49 +0200] "GET /https://www.davossail.ch HTTP/1.1" 301 337
103.89.91.157 - - [21/Sep/2018:15:41:50 +0200] "GET /https://https://www.davossail.ch/https:/www.davossail.ch HTTP/1.1" 301 368
46.118.119.215 - - [21/Sep/2018:15:52:49 +0200] "GET / HTTP/1.1" 301 306
46.118.119.215 - - [21/Sep/2018:15:52:51 +0200] "GET / HTTP/1.1" 301 306
54.36.149.40 - - [21/Sep/2018:15:56:25 +0200] "GET /event-pedalo.shtml HTTP/1.1" 301 324
195.176.16.2 - - [21/Sep/2018:15:57:38 +0200] "GET / HTTP/1.1" 301 314
195.176.16.2 - - [21/Sep/2018:15:57:38 +0200] "GET / HTTP/1.1" 200 32319
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 200 48314
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
195.176.16.2 - - [21/Sep/2018:15:57:39 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
195.176.16.2 - - [21/Sep/2018:15:57:42 +0200] "GET /templates/resellers/7/favicon.ico?v=1535881727 HTTP/1.1" 200 4286
195.176.16.2 - - [21/Sep/2018:15:58:00 +0200] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
195.176.16.2 - - [21/Sep/2018:15:58:00 +0200] "GET /vermietung.shtml HTTP/1.1" 200 31014
195.176.16.2 - - [21/Sep/2018:15:58:00 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
195.176.16.2 - - [21/Sep/2018:15:58:00 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
195.176.16.2 - - [21/Sep/2018:15:58:00 +0200] "GET /var/m_0/0d/0dd/12455/125499-32_Smartkat.JPG HTTP/1.1" 200 60966
195.176.16.2 - - [21/Sep/2018:15:58:00 +0200] "GET /templates/resellers/7/favicon.ico?v=1535917634 HTTP/1.1" 200 4286
195.176.16.2 - - [21/Sep/2018:15:58:00 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
195.176.16.2 - - [21/Sep/2018:15:58:00 +0200] "GET /var/m_0/0d/0dd/12455/125500-33_Opti.jpg HTTP/1.1" 200 104538
195.176.16.2 - - [21/Sep/2018:15:58:54 +0200] "GET /standort.shtml HTTP/1.1" 301 328
195.176.16.2 - - [21/Sep/2018:15:58:54 +0200] "GET /standort.shtml HTTP/1.1" 200 31242
195.176.16.2 - - [21/Sep/2018:15:58:56 +0200] "GET /templates/resellers/7/favicon.ico?v=1535975496 HTTP/1.1" 200 4286
