54.36.148.201 - - [06/Oct/2018:20:02:10 +0200] "GET /var/m_0/0d/0dd/12455/143481-G1_SKT2014_05.JPG HTTP/1.1" 301 359
216.244.66.248 - - [06/Oct/2018:20:03:01 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [06/Oct/2018:20:03:02 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.118.119.215 - - [06/Oct/2018:20:14:01 +0200] "GET / HTTP/1.1" 301 306
54.36.148.232 - - [06/Oct/2018:20:16:32 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 301 340
77.75.79.62 - - [06/Oct/2018:20:42:24 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.79.62 - - [06/Oct/2018:20:42:25 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
216.244.66.248 - - [06/Oct/2018:20:46:28 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [06/Oct/2018:20:46:29 +0200] "GET /robots.txt HTTP/1.1" 200 120
34.245.144.237 - - [06/Oct/2018:20:59:24 +0200] "GET / HTTP/1.1" 301 306
34.245.144.237 - - [06/Oct/2018:20:59:28 +0200] "GET / HTTP/1.1" 200 32166
