66.249.66.154 - - [31/Oct/2018:10:09:09 +0100] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 304 -
92.105.9.35 - - [31/Oct/2018:10:32:18 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 301 335
92.105.9.35 - - [31/Oct/2018:10:32:18 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 31302
92.105.9.35 - - [31/Oct/2018:10:32:19 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 165106
92.105.9.35 - - [31/Oct/2018:10:32:20 +0100] "GET /apple-touch-icon.png HTTP/1.1" 200 165106
92.105.9.35 - - [31/Oct/2018:10:32:22 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094580 HTTP/1.1" 200 4286
92.105.9.35 - - [31/Oct/2018:10:32:22 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 31256
92.105.9.35 - - [31/Oct/2018:10:32:22 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 301 335
92.105.9.35 - - [31/Oct/2018:10:32:22 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 165106
92.105.9.35 - - [31/Oct/2018:10:32:23 +0100] "GET /apple-touch-icon.png HTTP/1.1" 200 165106
92.105.9.35 - - [31/Oct/2018:10:32:25 +0100] "GET /templates/resellers/7/favicon.ico?v=1538489338 HTTP/1.1" 200 4286
180.76.15.10 - - [31/Oct/2018:10:36:23 +0100] "GET /images/stories/rangliste_sk_2014.pdf HTTP/1.1" 301 350
180.76.15.145 - - [31/Oct/2018:10:36:24 +0100] "GET /images/stories/rangliste_sk_2014.pdf HTTP/1.1" 200 165106
46.4.69.17 - - [31/Oct/2018:10:37:40 +0100] "GET /robots.txt HTTP/1.1" 200 80
46.4.69.17 - - [31/Oct/2018:10:37:40 +0100] "GET /kurse HTTP/1.1" 301 311
46.4.69.17 - - [31/Oct/2018:10:37:40 +0100] "GET /robots.txt HTTP/1.1" 301 316
46.4.69.17 - - [31/Oct/2018:10:37:40 +0100] "GET /kurse HTTP/1.1" 200 32172
216.244.66.248 - - [31/Oct/2018:10:41:06 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [31/Oct/2018:10:41:07 +0100] "GET /robots.txt HTTP/1.1" 200 120
