66.249.70.6 - - [04/Dec/2018:10:14:59 +0100] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 200 48314
51.75.95.101 - - [04/Dec/2018:10:16:05 +0100] "GET / HTTP/1.1" 200 32165
51.75.95.101 - - [04/Dec/2018:10:16:05 +0100] "GET / HTTP/1.1" 301 314
51.75.95.101 - - [04/Dec/2018:10:16:05 +0100] "GET /ads.txt HTTP/1.1" 301 313
51.75.95.101 - - [04/Dec/2018:10:16:05 +0100] "GET /ads.txt HTTP/1.1" 200 164962
136.243.156.195 - - [04/Dec/2018:10:23:23 +0100] "GET /robots.txt HTTP/1.1" 301 316
136.243.156.195 - - [04/Dec/2018:10:23:23 +0100] "GET /robots.txt HTTP/1.1" 200 80
136.243.156.195 - - [04/Dec/2018:10:23:23 +0100] "GET / HTTP/1.1" 301 314
136.243.156.195 - - [04/Dec/2018:10:23:24 +0100] "GET / HTTP/1.1" 200 32166
178.194.180.32 - - [04/Dec/2018:10:38:33 +0100] "GET /vermietung.shtml HTTP/1.1" 200 31015
178.194.180.32 - - [04/Dec/2018:10:38:33 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 165106
178.194.180.32 - - [04/Dec/2018:10:38:35 +0100] "GET /apple-touch-icon.png HTTP/1.1" 200 165106
178.194.180.32 - - [04/Dec/2018:10:38:39 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094511 HTTP/1.1" 200 4286
178.194.180.32 - - [04/Dec/2018:10:38:39 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 165106
207.46.13.74 - - [04/Dec/2018:10:38:39 +0100] "GET /davosersee HTTP/1.1" 301 316
178.194.180.32 - - [04/Dec/2018:10:38:39 +0100] "GET /vermietung.shtml HTTP/1.1" 200 30962
178.194.180.32 - - [04/Dec/2018:10:38:40 +0100] "GET /apple-touch-icon.png HTTP/1.1" 200 165106
178.194.180.32 - - [04/Dec/2018:10:38:42 +0100] "GET /templates/resellers/7/favicon.ico?v=1538122034 HTTP/1.1" 200 4286
