207.46.13.179 - - [25/Dec/2018:10:11:01 +0100] "GET /event-gruppesmartkat HTTP/1.1" 301 326
77.75.78.167 - - [25/Dec/2018:10:12:53 +0100] "GET /robots.txt HTTP/1.1" 200 80
77.75.78.167 - - [25/Dec/2018:10:12:54 +0100] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 304 -
39.104.27.135 - - [25/Dec/2018:10:19:20 +0100] "GET /old/wp-admin/ HTTP/1.1" 301 327
39.104.27.135 - - [25/Dec/2018:10:19:21 +0100] "GET /old/wp-admin/ HTTP/1.1" 200 18907
77.75.78.171 - - [25/Dec/2018:10:27:33 +0100] "GET /robots.txt HTTP/1.1" 200 80
77.75.78.171 - - [25/Dec/2018:10:27:37 +0100] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 304 -
31.13.115.5 - - [25/Dec/2018:10:31:57 +0100] "GET /robots.txt HTTP/1.1" 301 316
31.13.115.18 - - [25/Dec/2018:10:31:57 +0100] "GET /robots.txt HTTP/1.1" 206 80
216.244.66.248 - - [25/Dec/2018:10:44:57 +0100] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [25/Dec/2018:10:44:57 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [25/Dec/2018:10:44:59 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [25/Dec/2018:10:44:59 +0100] "GET /robots.txt HTTP/1.1" 200 120
