54.36.148.249 - - [29/Dec/2018:09:00:35 +0100] "GET /var/m_0/0d/0dd/12455/6564682-G3_SKT2015_13.jpg HTTP/1.1" 200 204673
216.244.66.248 - - [29/Dec/2018:09:04:57 +0100] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [29/Dec/2018:09:04:57 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Dec/2018:09:04:58 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [29/Dec/2018:09:04:58 +0100] "GET /robots.txt HTTP/1.1" 200 120
162.210.196.129 - - [29/Dec/2018:09:08:34 +0100] "GET /robots.txt HTTP/1.1" 301 324
162.210.196.129 - - [29/Dec/2018:09:08:35 +0100] "GET /robots.txt HTTP/1.1" 200 120
162.210.196.129 - - [29/Dec/2018:09:08:43 +0100] "GET / HTTP/1.1" 301 314
162.210.196.129 - - [29/Dec/2018:09:08:45 +0100] "GET / HTTP/1.1" 200 179296
54.36.148.240 - - [29/Dec/2018:09:24:11 +0100] "GET /var/m_0/0d/0dd/12455/7230937-G4_Event_SK_05.jpg HTTP/1.1" 301 361
216.244.66.248 - - [29/Dec/2018:09:39:59 +0100] "GET /var/m_0/0d/0dd/12455/143516-G2_Optikurs2014_11.jpg HTTP/1.1" 200 127495
216.244.66.248 - - [29/Dec/2018:09:40:08 +0100] "GET /var/m_0/0d/0dd/12455/6564684-G3_SKT2015_15.jpg HTTP/1.1" 200 144651
216.244.66.248 - - [29/Dec/2018:09:54:37 +0100] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [29/Dec/2018:09:54:37 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Dec/2018:09:54:38 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [29/Dec/2018:09:54:39 +0100] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.116 - - [29/Dec/2018:09:56:57 +0100] "GET /var/m_0/0d/0dd/12455/143478-G1_SKT2014_02.JPG HTTP/1.1" 301 359
