157.55.39.100 - - [29/Dec/2018:17:02:05 +0100] "GET /index.php?option=com_frontpage&Itemid=1 HTTP/1.1" 301 357
216.244.66.248 - - [29/Dec/2018:17:11:34 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Dec/2018:17:11:36 +0100] "GET /robots.txt HTTP/1.1" 200 120
202.46.56.186 - - [29/Dec/2018:17:13:45 +0100] "GET / HTTP/1.1" 301 314
202.46.52.149 - - [29/Dec/2018:17:13:46 +0100] "GET / HTTP/1.1" 200 179296
54.36.148.214 - - [29/Dec/2018:17:18:49 +0100] "GET / HTTP/1.1" 301 314
66.249.70.6 - - [29/Dec/2018:17:23:04 +0100] "GET /robots.txt HTTP/1.1" 200 80
66.249.70.6 - - [29/Dec/2018:17:23:20 +0100] "GET /.well-known/assetlinks.json HTTP/1.1" 200 18763
40.77.167.40 - - [29/Dec/2018:17:23:57 +0100] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 301 358
40.77.167.40 - - [29/Dec/2018:17:23:58 +0100] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
157.55.39.165 - - [29/Dec/2018:17:25:12 +0100] "GET /vermietung.shtml HTTP/1.1" 301 322
180.76.15.150 - - [29/Dec/2018:17:28:10 +0100] "GET /smartkat-trophy-2015-copy.shtml HTTP/1.1" 301 337
180.76.15.137 - - [29/Dec/2018:17:28:11 +0100] "GET /smartkat-trophy-2015-copy.shtml HTTP/1.1" 200 167592
40.77.167.40 - - [29/Dec/2018:17:33:06 +0100] "GET /index.php HTTP/1.1" 301 323
216.244.66.248 - - [29/Dec/2018:17:48:03 +0100] "GET /var/m_0/0d/0dd/12455/7230937-G4_Event_SK_05.jpg HTTP/1.1" 200 81682
216.244.66.248 - - [29/Dec/2018:17:59:57 +0100] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [29/Dec/2018:17:59:57 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [29/Dec/2018:17:59:59 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [29/Dec/2018:17:59:59 +0100] "GET /robots.txt HTTP/1.1" 200 120
