216.244.66.248 - - [04/Jan/2019:04:10:28 +0100] "GET /var/m_0/0d/0dd/12455/9114386-g6_SSL_Davos2017_11.jpg HTTP/1.1" 200 98791
216.244.66.248 - - [04/Jan/2019:04:18:31 +0100] "GET /gallery/displayimage.php?album=toprated&cat=-4&pos=31 HTTP/1.1" 200 222
216.244.66.248 - - [04/Jan/2019:04:25:38 +0100] "GET /gallery/displayimage.php?album=lastup&cat=0&pid=154&slideshow=5000 HTTP/1.1" 200 222
216.244.66.248 - - [04/Jan/2019:04:29:18 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [04/Jan/2019:04:29:18 +0100] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [04/Jan/2019:04:29:20 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [04/Jan/2019:04:29:20 +0100] "GET /robots.txt HTTP/1.1" 200 120
17.58.99.196 - - [04/Jan/2019:04:39:01 +0100] "GET /robots.txt HTTP/1.1" 301 316
17.58.99.196 - - [04/Jan/2019:04:39:01 +0100] "GET /robots.txt HTTP/1.1" 301 316
17.58.99.196 - - [04/Jan/2019:04:39:02 +0100] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [04/Jan/2019:04:39:02 +0100] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [04/Jan/2019:04:39:02 +0100] "GET / HTTP/1.1" 301 306
17.58.99.196 - - [04/Jan/2019:04:39:02 +0100] "GET / HTTP/1.1" 200 32165
17.58.99.196 - - [04/Jan/2019:04:39:02 +0100] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [04/Jan/2019:04:39:02 +0100] "GET / HTTP/1.1" 200 32166
17.58.99.196 - - [04/Jan/2019:04:39:02 +0100] "GET / HTTP/1.1" 301 306
17.58.99.196 - - [04/Jan/2019:04:39:02 +0100] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [04/Jan/2019:04:39:03 +0100] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [04/Jan/2019:04:39:03 +0100] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [04/Jan/2019:04:39:03 +0100] "GET /robots.txt HTTP/1.1" 200 80
17.58.99.196 - - [04/Jan/2019:04:39:03 +0100] "GET /apple-app-site-association HTTP/1.1" 200 18763
17.58.99.196 - - [04/Jan/2019:04:39:03 +0100] "GET /favicon.ico HTTP/1.1" 200 1150
17.58.99.196 - - [04/Jan/2019:04:39:03 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 18763
17.58.99.196 - - [04/Jan/2019:04:39:03 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 200 18763
17.58.99.196 - - [04/Jan/2019:04:39:03 +0100] "GET /.well-known/apple-app-site-association HTTP/1.1" 200 18763
17.58.99.196 - - [04/Jan/2019:04:39:04 +0100] "GET /apple-touch-icon.png HTTP/1.1" 200 18763
17.58.99.196 - - [04/Jan/2019:04:39:04 +0100] "GET /apple-touch-icon.png HTTP/1.1" 200 18763
216.244.66.248 - - [04/Jan/2019:04:58:46 +0100] "GET /var/m_0/0d/0dd/12455/9114389-g6_SSL_Davos2017_12.jpg HTTP/1.1" 200 94416
94.158.245.114 - - [04/Jan/2019:04:59:29 +0100] "GET /wp-content/plugins/formcraft/file-upload/server/php/upload.php HTTP/1.1" 301 376
94.158.245.114 - - [04/Jan/2019:04:59:31 +0100] "GET /wp-content/plugins/formcraft/file-upload/server/php/upload.php HTTP/1.1" 200 18907
