66.249.66.151 - - [17/Jan/2019:00:10:42 +0100] "GET /templates/resellers/7/favicon.ico?v=1535075421 HTTP/1.1" 304 -
51.68.79.181 - - [17/Jan/2019:00:28:21 +0100] "GET /robots.txt HTTP/1.1" 301 316
51.68.79.181 - - [17/Jan/2019:00:28:22 +0100] "GET / HTTP/1.1" 301 306
51.68.79.181 - - [17/Jan/2019:00:28:22 +0100] "GET / HTTP/1.1" 200 32165
51.68.79.181 - - [17/Jan/2019:00:28:22 +0100] "GET /robots.txt HTTP/1.1" 200 80
157.55.39.254 - - [17/Jan/2019:00:29:08 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 30880
216.244.66.248 - - [17/Jan/2019:00:30:09 +0100] "GET /var/m_0/0d/0dd/12455/143514-G2_Optikurs2014_09.jpg HTTP/1.1" 200 152348
216.244.66.248 - - [17/Jan/2019:00:30:18 +0100] "GET /var/m_0/0d/0dd/12455/6564692-G3_SKT2015_22.jpg HTTP/1.1" 200 137091
216.244.66.248 - - [17/Jan/2019:00:32:23 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [17/Jan/2019:00:32:25 +0100] "GET /robots.txt HTTP/1.1" 200 120
77.225.138.212 - - [17/Jan/2019:00:57:46 +0100] "GET / HTTP/1.1" 301 314
77.225.138.212 - - [17/Jan/2019:00:57:47 +0100] "GET /https://www.davossail.ch HTTP/1.1" 301 337
157.55.39.20 - - [17/Jan/2019:00:58:52 +0100] "GET /robots.txt HTTP/1.1" 301 316
157.55.39.20 - - [17/Jan/2019:00:58:53 +0100] "GET /robots.txt HTTP/1.1" 200 80
