40.77.167.130 - - [19/Jan/2019:01:00:13 +0100] "GET /index.php?option=com_content&task=view&id=41&Itemid=99 HTTP/1.1" 301 372
46.229.168.143 - - [19/Jan/2019:01:00:28 +0100] "GET /robots.txt HTTP/1.1" 301 316
46.229.168.145 - - [19/Jan/2019:01:00:29 +0100] "GET /robots.txt HTTP/1.1" 200 80
46.229.168.130 - - [19/Jan/2019:01:00:29 +0100] "GET /galerie.shtml HTTP/1.1" 301 319
46.229.168.129 - - [19/Jan/2019:01:00:31 +0100] "GET /galerie.shtml HTTP/1.1" 200 30731
216.244.66.248 - - [19/Jan/2019:01:03:36 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [19/Jan/2019:01:03:38 +0100] "GET /robots.txt HTTP/1.1" 200 120
195.248.251.18 - - [19/Jan/2019:01:26:22 +0100] "GET /ads.txt HTTP/1.1" 301 313
195.248.251.18 - - [19/Jan/2019:01:26:27 +0100] "GET /ads.txt HTTP/1.1" 200 18763
195.248.251.18 - - [19/Jan/2019:01:26:33 +0100] "GET /ads.txt HTTP/1.1" 301 321
195.248.251.18 - - [19/Jan/2019:01:26:34 +0100] "GET /ads.txt HTTP/1.1" 200 18907
216.244.66.248 - - [19/Jan/2019:01:48:51 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [19/Jan/2019:01:48:53 +0100] "GET /robots.txt HTTP/1.1" 200 120
