54.36.148.136 - - [14/Feb/2019:00:07:02 +0100] "GET /var/m_0/0d/0dd/12455/7230911-G5_Matchracing_08.jpg HTTP/1.1" 200 76548
66.249.75.141 - - [14/Feb/2019:00:09:07 +0100] "GET / HTTP/1.1" 301 306
66.249.75.138 - - [14/Feb/2019:00:09:28 +0100] "GET / HTTP/1.1" 200 32108
216.244.66.248 - - [14/Feb/2019:00:29:20 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [14/Feb/2019:00:29:21 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.4.69.17 - - [14/Feb/2019:00:30:24 +0100] "GET /sitemap.xml HTTP/1.1" 200 -
46.4.69.17 - - [14/Feb/2019:00:30:24 +0100] "GET /robots.txt HTTP/1.1" 200 80
46.4.69.17 - - [14/Feb/2019:00:30:24 +0100] "GET /robots.txt HTTP/1.1" 301 316
46.4.69.17 - - [14/Feb/2019:00:30:24 +0100] "GET /sitemap.xml HTTP/1.1" 301 317
46.4.69.17 - - [14/Feb/2019:00:30:26 +0100] "GET /sitemap.xml HTTP/1.1" 200 -
46.4.69.17 - - [14/Feb/2019:00:30:26 +0100] "GET /sitemap.xml HTTP/1.1" 301 325
46.4.69.17 - - [14/Feb/2019:00:30:27 +0100] "GET / HTTP/1.1" 301 314
46.4.69.17 - - [14/Feb/2019:00:30:28 +0100] "GET / HTTP/1.1" 200 32165
46.4.69.17 - - [14/Feb/2019:00:30:29 +0100] "GET /index.php HTTP/1.1" 301 323
46.4.69.17 - - [14/Feb/2019:00:30:29 +0100] "GET /index.php HTTP/1.1" 302 -
46.4.69.17 - - [14/Feb/2019:00:30:37 +0100] "GET / HTTP/1.1" 301 314
46.4.69.17 - - [14/Feb/2019:00:30:37 +0100] "GET / HTTP/1.1" 200 32165
46.229.168.140 - - [14/Feb/2019:00:35:20 +0100] "GET /robots.txt HTTP/1.1" 200 80
46.229.168.135 - - [14/Feb/2019:00:35:20 +0100] "GET /robots.txt HTTP/1.1" 301 316
46.229.168.135 - - [14/Feb/2019:00:35:21 +0100] "GET /kinder-segelkurs HTTP/1.1" 301 322
46.229.168.134 - - [14/Feb/2019:00:35:22 +0100] "GET /kinder-segelkurs HTTP/1.1" 200 31070
104.155.179.226 - - [14/Feb/2019:01:00:22 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [14/Feb/2019:01:15:24 +0100] "GET /robots.txt HTTP/1.1" 301 324
