106.120.173.98 - - [09/Mar/2019:00:04:39 +0100] "GET /js/footer/get_deps.min.js?v=6.5.1.37665 HTTP/1.1" 200 149
216.244.66.248 - - [09/Mar/2019:00:14:24 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:00:14:26 +0100] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.161 - - [09/Mar/2019:00:27:48 +0100] "GET /var/m_0/0d/0dd/12455/8019892-52_Segellehrer_2.JPG HTTP/1.1" 301 617
40.77.167.161 - - [09/Mar/2019:00:27:50 +0100] "GET /var/m_0/0d/0dd/12455/8019892-52_Segellehrer_2.JPG HTTP/1.1" 200 211038
216.244.66.248 - - [09/Mar/2019:00:58:36 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:00:58:38 +0100] "GET /robots.txt HTTP/1.1" 200 120
54.36.149.98 - - [09/Mar/2019:01:49:56 +0100] "GET /galerie-sktrophy-2015 HTTP/1.1" 200 40395
54.36.150.174 - - [09/Mar/2019:01:49:59 +0100] "GET /robots.txt HTTP/1.1" 200 120
17.58.99.196 - - [09/Mar/2019:02:11:13 +0100] "GET / HTTP/1.1" 301 617
17.58.99.196 - - [09/Mar/2019:02:11:13 +0100] "GET / HTTP/1.1" 200 41203
17.58.99.196 - - [09/Mar/2019:02:11:13 +0100] "GET /robots.txt HTTP/1.1" 301 617
17.58.99.196 - - [09/Mar/2019:02:11:14 +0100] "GET /robots.txt HTTP/1.1" 200 120
17.58.99.196 - - [09/Mar/2019:02:11:14 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [09/Mar/2019:02:27:17 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:02:27:19 +0100] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.50 - - [09/Mar/2019:02:28:00 +0100] "GET /kinder-segelkurs HTTP/1.1" 200 39648
207.46.13.168 - - [09/Mar/2019:02:39:44 +0100] "GET /events HTTP/1.1" 200 39880
40.77.167.175 - - [09/Mar/2019:02:53:42 +0100] "GET /davosersee HTTP/1.1" 301 617
207.46.13.168 - - [09/Mar/2019:03:07:16 +0100] "GET /galerie HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:03:11:34 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:03:11:37 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [09/Mar/2019:03:55:53 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:03:55:55 +0100] "GET /robots.txt HTTP/1.1" 200 120
218.30.103.128 - - [09/Mar/2019:03:59:52 +0100] "GET /robots.txt HTTP/1.1" 301 617
218.30.103.128 - - [09/Mar/2019:03:59:54 +0100] "GET / HTTP/1.1" 301 617
218.30.103.128 - - [09/Mar/2019:03:59:58 +0100] "GET / HTTP/1.1" 200 41203
134.73.199.154 - - [09/Mar/2019:04:15:25 +0100] "GET /wp-content/themes/headway-165/style.css HTTP/1.1" 301 617
