46.166.186.208 - - [15/Mar/2019:09:00:21 +0100] "HEAD / HTTP/1.1" 301 0
54.36.148.220 - - [15/Mar/2019:09:04:26 +0100] "GET /%C3%BCber-uns HTTP/1.1" 200 39219
216.244.66.248 - - [15/Mar/2019:09:11:30 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [15/Mar/2019:09:11:33 +0100] "GET /robots.txt HTTP/1.1" 200 120
180.76.15.137 - - [15/Mar/2019:09:14:04 +0100] "GET /index.php HTTP/1.1" 301 617
180.76.15.159 - - [15/Mar/2019:09:14:05 +0100] "GET /index.php HTTP/1.1" 302 0
180.76.15.151 - - [15/Mar/2019:09:14:07 +0100] "GET http://www.davossail.ch/ HTTP/1.1" 301 617
180.76.15.160 - - [15/Mar/2019:09:14:14 +0100] "GET / HTTP/1.1" 200 179296
180.76.15.161 - - [15/Mar/2019:09:14:15 +0100] "GET / HTTP/1.1" 301 617
85.2.100.154 - - [15/Mar/2019:09:36:48 +0100] "GET /vermietung.shtml HTTP/1.1" 200 31440
85.2.100.154 - - [15/Mar/2019:09:36:51 +0100] "GET /vermietung.shtml HTTP/1.1" 200 31324
85.2.100.154 - - [15/Mar/2019:09:36:55 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4322
85.2.100.154 - - [15/Mar/2019:09:36:57 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 4322
85.2.100.154 - - [15/Mar/2019:09:36:58 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094511 HTTP/1.1" 200 4286
85.2.100.154 - - [15/Mar/2019:09:36:58 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4322
85.2.100.154 - - [15/Mar/2019:09:37:00 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 4322
85.2.100.154 - - [15/Mar/2019:09:37:01 +0100] "GET /templates/resellers/7/favicon.ico?v=1538122034 HTTP/1.1" 200 4286
216.244.66.248 - - [15/Mar/2019:09:56:14 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [15/Mar/2019:09:56:16 +0100] "GET /robots.txt HTTP/1.1" 200 120
85.2.100.154 - - [15/Mar/2019:10:08:30 +0100] "GET /vermietung.shtml HTTP/1.1" 200 31440
85.2.100.154 - - [15/Mar/2019:10:08:33 +0100] "GET /vermietung.shtml HTTP/1.1" 200 31324
54.36.149.92 - - [15/Mar/2019:10:08:33 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 301 617
85.2.100.154 - - [15/Mar/2019:10:08:37 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4322
85.2.100.154 - - [15/Mar/2019:10:08:39 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 4322
85.2.100.154 - - [15/Mar/2019:10:08:40 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094511 HTTP/1.1" 200 4286
85.2.100.154 - - [15/Mar/2019:10:08:40 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4322
85.2.100.154 - - [15/Mar/2019:10:08:41 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 4322
85.2.100.154 - - [15/Mar/2019:10:08:42 +0100] "GET /templates/resellers/7/favicon.ico?v=1538122034 HTTP/1.1" 200 4286
54.36.148.34 - - [15/Mar/2019:10:10:49 +0100] "GET /var/m_0/0d/0dd/12455/6564727-G3_SKT2015_54.jpg HTTP/1.1" 301 617
178.137.19.79 - - [15/Mar/2019:10:20:36 +0100] "GET / HTTP/1.1" 301 617
178.137.19.79 - - [15/Mar/2019:10:20:37 +0100] "GET / HTTP/1.1" 301 617
178.137.19.79 - - [15/Mar/2019:10:20:37 +0100] "GET / HTTP/1.1" 301 617
