40.77.167.75 - - [20/Mar/2019:06:27:40 +0100] "GET /kinder-segelkurs HTTP/1.1" 200 39648
216.244.66.248 - - [20/Mar/2019:06:30:08 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [20/Mar/2019:06:30:10 +0100] "GET /robots.txt HTTP/1.1" 200 120
178.154.200.24 - - [20/Mar/2019:06:46:45 +0100] "GET /robots.txt HTTP/1.1" 301 617
37.9.113.92 - - [20/Mar/2019:06:46:45 +0100] "GET /robots.txt HTTP/1.1" 200 120
93.158.166.19 - - [20/Mar/2019:06:46:46 +0100] "GET / HTTP/1.1" 301 617
5.45.207.84 - - [20/Mar/2019:06:46:58 +0100] "GET /robots.txt HTTP/1.1" 200 120
141.8.142.128 - - [20/Mar/2019:06:47:04 +0100] "GET / HTTP/1.1" 200 41203
37.115.187.192 - - [20/Mar/2019:07:02:33 +0100] "GET / HTTP/1.1" 301 617
37.115.187.192 - - [20/Mar/2019:07:02:33 +0100] "GET / HTTP/1.1" 301 617
37.115.187.192 - - [20/Mar/2019:07:02:34 +0100] "GET / HTTP/1.1" 301 617
178.137.19.79 - - [20/Mar/2019:07:05:18 +0100] "GET / HTTP/1.1" 301 617
178.137.19.79 - - [20/Mar/2019:07:05:19 +0100] "GET / HTTP/1.1" 301 617
178.137.19.79 - - [20/Mar/2019:07:05:22 +0100] "GET / HTTP/1.1" 301 617
77.75.78.166 - - [20/Mar/2019:07:12:57 +0100] "GET /robots.txt HTTP/1.1" 200 120
77.75.78.166 - - [20/Mar/2019:07:13:01 +0100] "GET /vermietung HTTP/1.1" 301 617
77.75.78.166 - - [20/Mar/2019:07:13:01 +0100] "GET /kurse.shtml HTTP/1.1" 200 41045
77.75.78.166 - - [20/Mar/2019:07:13:03 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [20/Mar/2019:07:14:39 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [20/Mar/2019:07:14:41 +0100] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.80 - - [20/Mar/2019:07:14:47 +0100] "GET /index.php HTTP/1.1" 301 617
178.137.167.214 - - [20/Mar/2019:07:18:57 +0100] "GET / HTTP/1.1" 301 617
178.137.167.214 - - [20/Mar/2019:07:18:58 +0100] "GET / HTTP/1.1" 301 617
178.137.167.214 - - [20/Mar/2019:07:18:58 +0100] "GET / HTTP/1.1" 301 617
157.55.39.42 - - [20/Mar/2019:07:19:33 +0100] "GET /robots.txt HTTP/1.1" 301 617
157.55.39.42 - - [20/Mar/2019:07:19:34 +0100] "GET /robots.txt HTTP/1.1" 200 120
141.8.132.8 - - [20/Mar/2019:07:24:55 +0100] "GET /robots.txt HTTP/1.1" 200 120
37.9.113.169 - - [20/Mar/2019:07:24:55 +0100] "GET /robots.txt HTTP/1.1" 301 617
37.9.113.92 - - [20/Mar/2019:07:24:55 +0100] "GET /robots.txt HTTP/1.1" 200 120
178.154.171.82 - - [20/Mar/2019:07:25:06 +0100] "GET / HTTP/1.1" 200 41203
178.154.200.8 - - [20/Mar/2019:07:25:06 +0100] "GET / HTTP/1.1" 301 617
207.46.13.80 - - [20/Mar/2019:07:25:08 +0100] "GET /index.php HTTP/1.1" 301 617
87.250.224.111 - - [20/Mar/2019:07:25:14 +0100] "GET / HTTP/1.1" 301 617
141.8.183.207 - - [20/Mar/2019:07:25:16 +0100] "GET / HTTP/1.1" 200 41203
40.77.167.2 - - [20/Mar/2019:07:32:47 +0100] "GET /galerie.shtml HTTP/1.1" 301 617
207.46.13.70 - - [20/Mar/2019:07:46:02 +0100] "GET /index.php?option=com_content&task=view&id=32&Itemid=82 HTTP/1.1" 301 617
157.55.39.242 - - [20/Mar/2019:07:55:56 +0100] "GET /smartkat-crashkurs HTTP/1.1" 301 617
40.77.167.2 - - [20/Mar/2019:07:56:00 +0100] "GET /flotte HTTP/1.1" 301 617
207.46.13.200 - - [20/Mar/2019:07:56:03 +0100] "GET /vermietung HTTP/1.1" 301 617
157.55.39.242 - - [20/Mar/2019:07:56:07 +0100] "GET /segelkurs-jollesmartkat HTTP/1.1" 301 617
40.77.167.109 - - [20/Mar/2019:07:56:17 +0100] "GET /kursanmeldung HTTP/1.1" 301 617
216.244.66.248 - - [20/Mar/2019:07:59:33 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [20/Mar/2019:07:59:34 +0100] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.109 - - [20/Mar/2019:08:09:30 +0100] "GET /index.php?option=com_content&task=view&id=34&Itemid=87 HTTP/1.1" 301 617
77.75.78.163 - - [20/Mar/2019:08:16:00 +0100] "GET /galerie-matchracing HTTP/1.1" 200 39198
77.75.78.163 - - [20/Mar/2019:08:16:00 +0100] "GET /robots.txt HTTP/1.1" 200 120
85.2.100.154 - - [20/Mar/2019:08:17:39 +0100] "GET /vermietung.shtml HTTP/1.1" 200 31440
85.2.100.154 - - [20/Mar/2019:08:17:44 +0100] "GET /vermietung.shtml HTTP/1.1" 200 31324
85.2.100.154 - - [20/Mar/2019:08:17:50 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4320
85.2.100.154 - - [20/Mar/2019:08:17:52 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 4322
85.2.100.154 - - [20/Mar/2019:08:17:54 +0100] "GET /templates/resellers/7/favicon.ico?v=1538094511 HTTP/1.1" 200 4286
85.2.100.154 - - [20/Mar/2019:08:17:54 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4322
85.2.100.154 - - [20/Mar/2019:08:17:55 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 4320
85.2.100.154 - - [20/Mar/2019:08:17:56 +0100] "GET /templates/resellers/7/favicon.ico?v=1538122034 HTTP/1.1" 200 4286
157.55.39.242 - - [20/Mar/2019:08:25:44 +0100] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 301 617
157.55.39.242 - - [20/Mar/2019:08:25:45 +0100] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
46.229.168.131 - - [20/Mar/2019:08:25:46 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 301 617
46.229.168.131 - - [20/Mar/2019:08:25:47 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 40507
46.229.168.131 - - [20/Mar/2019:08:25:48 +0100] "GET /robots.txt HTTP/1.1" 301 617
46.229.168.153 - - [20/Mar/2019:08:25:49 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.134 - - [20/Mar/2019:08:29:30 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.149 - - [20/Mar/2019:08:29:31 +0100] "GET /pruefungskurs HTTP/1.1" 200 40511
216.244.66.248 - - [20/Mar/2019:08:43:59 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [20/Mar/2019:08:44:01 +0100] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.64 - - [20/Mar/2019:08:49:22 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 40395
