54.36.148.114 - - [06/Apr/2019:06:00:46 +0200] "GET /events HTTP/1.1" 200 6281
216.244.66.248 - - [06/Apr/2019:06:01:20 +0200] "GET /gallery/thumbnails.php?album=3 HTTP/1.1" 404 220
216.244.66.248 - - [06/Apr/2019:06:03:05 +0200] "GET /var/m_0/0d/0dd/12455/143511-G2_Optikurs2014_06.JPG HTTP/1.1" 200 108393
40.77.167.0 - - [06/Apr/2019:06:04:19 +0200] "GET /kurse HTTP/1.1" 200 7487
216.244.66.248 - - [06/Apr/2019:06:05:24 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [06/Apr/2019:06:05:26 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [06/Apr/2019:06:05:26 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [06/Apr/2019:06:05:27 +0200] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.0 - - [06/Apr/2019:06:09:10 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 301 617
207.46.13.228 - - [06/Apr/2019:06:14:40 +0200] "GET /davosersee HTTP/1.1" 301 617
66.249.64.102 - - [06/Apr/2019:06:46:15 +0200] "GET /robots.txt HTTP/1.1" 301 617
66.249.64.115 - - [06/Apr/2019:06:46:15 +0200] "GET /robots.txt HTTP/1.1" 200 120
66.249.64.45 - - [06/Apr/2019:06:46:16 +0200] "GET /robots.txt HTTP/1.1" 301 617
66.249.64.50 - - [06/Apr/2019:06:46:17 +0200] "GET /robots.txt HTTP/1.1" 200 120
66.249.64.102 - - [06/Apr/2019:06:46:34 +0200] "GET /index.php HTTP/1.1" 301 617
66.249.64.102 - - [06/Apr/2019:06:46:35 +0200] "GET /index.html HTTP/1.1" 301 617
66.249.64.43 - - [06/Apr/2019:06:46:35 +0200] "GET /index.php?option=com_joomap&Itemid=100 HTTP/1.1" 301 617
66.249.64.113 - - [06/Apr/2019:06:46:34 +0200] "GET /index.php HTTP/1.1" 302 0
66.249.64.50 - - [06/Apr/2019:06:46:49 +0200] "GET /index.php?option=com_joomap&Itemid=100 HTTP/1.1" 302 0
66.249.64.111 - - [06/Apr/2019:06:46:50 +0200] "GET /index.php HTTP/1.1" 302 0
66.249.64.102 - - [06/Apr/2019:06:46:51 +0200] "GET / HTTP/1.1" 301 617
66.249.64.111 - - [06/Apr/2019:06:46:51 +0200] "GET /index.html HTTP/1.1" 200 6632
66.249.64.111 - - [06/Apr/2019:06:47:01 +0200] "GET / HTTP/1.1" 200 6632
66.249.64.43 - - [06/Apr/2019:06:47:02 +0200] "GET / HTTP/1.1" 301 617
66.249.64.102 - - [06/Apr/2019:06:47:02 +0200] "GET / HTTP/1.1" 301 617
66.249.64.50 - - [06/Apr/2019:06:47:11 +0200] "GET / HTTP/1.1" 200 6632
66.249.64.115 - - [06/Apr/2019:06:47:12 +0200] "GET / HTTP/1.1" 200 6632
216.244.66.248 - - [06/Apr/2019:06:54:33 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [06/Apr/2019:06:54:34 +0200] "GET /robots.txt HTTP/1.1" 301 617
